"jahr","gemnr","pop"
"2002","10101",11644
"2003","10101",11699
"2004","10101",11799
"2005","10101",12045
"2006","10101",12171
"2007","10101",12350
"2008","10101",12549
"2009","10101",12717
"2010","10101",12816
"2011","10101",12950
"2012","10101",13112
"2013","10101",13351
"2014","10101",13485
"2015","10101",13664
"2016","10101",14226
"2017","10101",14339
"2018","10101",14476
"2019","10101",14637
"2020","10101",14816
"2021","10101",14895
"2022","10101",15240
"2023","10101",15729
"2024","10101",16037
"2025","10101",16118
"2002","10201",1730
"2003","10201",1730
"2004","10201",1761
"2005","10201",1797
"2006","10201",1803
"2007","10201",1815
"2008","10201",1814
"2009","10201",1873
"2010","10201",1875
"2011","10201",1888
"2012","10201",1887
"2013","10201",1918
"2014","10201",1942
"2015","10201",1929
"2016","10201",1911
"2017","10201",1900
"2018","10201",1921
"2019","10201",1940
"2020","10201",1980
"2021","10201",2000
"2022","10201",1984
"2023","10201",1964
"2024","10201",1984
"2025","10201",1933
"2002","10301",1722
"2003","10301",1726
"2004","10301",1746
"2005","10301",1758
"2006","10301",1766
"2007","10301",1784
"2008","10301",1816
"2009","10301",1849
"2010","10301",1885
"2011","10301",1891
"2012","10301",1906
"2013","10301",1908
"2014","10301",1918
"2015","10301",1910
"2016","10301",1913
"2017","10301",1938
"2018","10301",1938
"2019","10301",1910
"2020","10301",1871
"2021","10301",1883
"2022","10301",1890
"2023","10301",1932
"2024","10301",1909
"2025","10301",1943
"2002","10302",1639
"2003","10302",1649
"2004","10302",1661
"2005","10302",1697
"2006","10302",1702
"2007","10302",1718
"2008","10302",1717
"2009","10302",1729
"2010","10302",1715
"2011","10302",1719
"2012","10302",1743
"2013","10302",1732
"2014","10302",1733
"2015","10302",1739
"2016","10302",1746
"2017","10302",1800
"2018","10302",1810
"2019","10302",1822
"2020","10302",1843
"2021","10302",1841
"2022","10302",1846
"2023","10302",1844
"2024","10302",1881
"2025","10302",1881
"2002","10303",1808
"2003","10303",1815
"2004","10303",1804
"2005","10303",1818
"2006","10303",1847
"2007","10303",1823
"2008","10303",1845
"2009","10303",1857
"2010","10303",1888
"2011","10303",1910
"2012","10303",1939
"2013","10303",1998
"2014","10303",2032
"2015","10303",2048
"2016","10303",2067
"2017","10303",2082
"2018","10303",2048
"2019","10303",2080
"2020","10303",2104
"2021","10303",2122
"2022","10303",2122
"2023","10303",2091
"2024","10303",2091
"2025","10303",2078
"2002","10304",2635
"2003","10304",2645
"2004","10304",2616
"2005","10304",2624
"2006","10304",2609
"2007","10304",2609
"2008","10304",2678
"2009","10304",2738
"2010","10304",2724
"2011","10304",2762
"2012","10304",2765
"2013","10304",2788
"2014","10304",2801
"2015","10304",2859
"2016","10304",2914
"2017","10304",2964
"2018","10304",3012
"2019","10304",3091
"2020","10304",3129
"2021","10304",3176
"2022","10304",3217
"2023","10304",3270
"2024","10304",3312
"2025","10304",3323
"2002","10305",1175
"2003","10305",1181
"2004","10305",1180
"2005","10305",1170
"2006","10305",1170
"2007","10305",1160
"2008","10305",1139
"2009","10305",1178
"2010","10305",1173
"2011","10305",1189
"2012","10305",1166
"2013","10305",1172
"2014","10305",1180
"2015","10305",1177
"2016","10305",1246
"2017","10305",1223
"2018","10305",1172
"2019","10305",1153
"2020","10305",1147
"2021","10305",1223
"2022","10305",1255
"2023","10305",1280
"2024","10305",1260
"2025","10305",1203
"2002","10306",1174
"2003","10306",1182
"2004","10306",1175
"2005","10306",1172
"2006","10306",1165
"2007","10306",1157
"2008","10306",1155
"2009","10306",1156
"2010","10306",1157
"2011","10306",1155
"2012","10306",1158
"2013","10306",1169
"2014","10306",1173
"2015","10306",1173
"2016","10306",1187
"2017","10306",1174
"2018","10306",1193
"2019","10306",1198
"2020","10306",1208
"2021","10306",1217
"2022","10306",1212
"2023","10306",1217
"2024","10306",1242
"2025","10306",1258
"2002","10307",2313
"2003","10307",2314
"2004","10307",2315
"2005","10307",2331
"2006","10307",2338
"2007","10307",2355
"2008","10307",2384
"2009","10307",2364
"2010","10307",2354
"2011","10307",2322
"2012","10307",2318
"2013","10307",2288
"2014","10307",2280
"2015","10307",2261
"2016","10307",2272
"2017","10307",2251
"2018","10307",2261
"2019","10307",2244
"2020","10307",2203
"2021","10307",2228
"2022","10307",2192
"2023","10307",2218
"2024","10307",2213
"2025","10307",2181
"2002","10308",1241
"2003","10308",1253
"2004","10308",1266
"2005","10308",1274
"2006","10308",1317
"2007","10308",1309
"2008","10308",1291
"2009","10308",1308
"2010","10308",1326
"2011","10308",1354
"2012","10308",1327
"2013","10308",1353
"2014","10308",1353
"2015","10308",1375
"2016","10308",1388
"2017","10308",1404
"2018","10308",1397
"2019","10308",1394
"2020","10308",1383
"2021","10308",1384
"2022","10308",1400
"2023","10308",1469
"2024","10308",1466
"2025","10308",1521
"2002","10309",2965
"2003","10309",2965
"2004","10309",2988
"2005","10309",3035
"2006","10309",3077
"2007","10309",3065
"2008","10309",3145
"2009","10309",3159
"2010","10309",3155
"2011","10309",3107
"2012","10309",3185
"2013","10309",3180
"2014","10309",3196
"2015","10309",3253
"2016","10309",3234
"2017","10309",3339
"2018","10309",3418
"2019","10309",3451
"2020","10309",3486
"2021","10309",3587
"2022","10309",3640
"2023","10309",3642
"2024","10309",3621
"2025","10309",3594
"2002","10310",1789
"2003","10310",1766
"2004","10310",1804
"2005","10310",1818
"2006","10310",1812
"2007","10310",1805
"2008","10310",1806
"2009","10310",1798
"2010","10310",1793
"2011","10310",1805
"2012","10310",1809
"2013","10310",1791
"2014","10310",1785
"2015","10310",1762
"2016","10310",1766
"2017","10310",1779
"2018","10310",1739
"2019","10310",1748
"2020","10310",1753
"2021","10310",1738
"2022","10310",1741
"2023","10310",1710
"2024","10310",1702
"2025","10310",1691
"2002","10311",1318
"2003","10311",1315
"2004","10311",1291
"2005","10311",1296
"2006","10311",1313
"2007","10311",1290
"2008","10311",1298
"2009","10311",1314
"2010","10311",1319
"2011","10311",1316
"2012","10311",1278
"2013","10311",1274
"2014","10311",1279
"2015","10311",1265
"2016","10311",1250
"2017","10311",1252
"2018","10311",1243
"2019","10311",1262
"2020","10311",1255
"2021","10311",1271
"2022","10311",1291
"2023","10311",1312
"2024","10311",1290
"2025","10311",1304
"2002","10312",2568
"2003","10312",2567
"2004","10312",2588
"2005","10312",2620
"2006","10312",2637
"2007","10312",2666
"2008","10312",2669
"2009","10312",2715
"2010","10312",2732
"2011","10312",2727
"2012","10312",2701
"2013","10312",2718
"2014","10312",2758
"2015","10312",2754
"2016","10312",2835
"2017","10312",2877
"2018","10312",2901
"2019","10312",2912
"2020","10312",2885
"2021","10312",2899
"2022","10312",2925
"2023","10312",2984
"2024","10312",3017
"2025","10312",3053
"2002","10313",2777
"2003","10313",2767
"2004","10313",2770
"2005","10313",2779
"2006","10313",2785
"2007","10313",2781
"2008","10313",2749
"2009","10313",2735
"2010","10313",2736
"2011","10313",2729
"2012","10313",2710
"2013","10313",2710
"2014","10313",2708
"2015","10313",2682
"2016","10313",2661
"2017","10313",2661
"2018","10313",2636
"2019","10313",2650
"2020","10313",2669
"2021","10313",2683
"2022","10313",2691
"2023","10313",2734
"2024","10313",2710
"2025","10313",2720
"2002","10314",1377
"2003","10314",1385
"2004","10314",1376
"2005","10314",1406
"2006","10314",1397
"2007","10314",1382
"2008","10314",1389
"2009","10314",1405
"2010","10314",1411
"2011","10314",1425
"2012","10314",1397
"2013","10314",1419
"2014","10314",1389
"2015","10314",1383
"2016","10314",1396
"2017","10314",1375
"2018","10314",1392
"2019","10314",1365
"2020","10314",1421
"2021","10314",1417
"2022","10314",1436
"2023","10314",1442
"2024","10314",1447
"2025","10314",1448
"2002","10315",2706
"2003","10315",2701
"2004","10315",2711
"2005","10315",2705
"2006","10315",2728
"2007","10315",2744
"2008","10315",2796
"2009","10315",2805
"2010","10315",2884
"2011","10315",2898
"2012","10315",2951
"2013","10315",2937
"2014","10315",2949
"2015","10315",2974
"2016","10315",2950
"2017","10315",2919
"2018","10315",2963
"2019","10315",3027
"2020","10315",3066
"2021","10315",3118
"2022","10315",3203
"2023","10315",3248
"2024","10315",3247
"2025","10315",3228
"2002","10316",1883
"2003","10316",1904
"2004","10316",1935
"2005","10316",1970
"2006","10316",2065
"2007","10316",2120
"2008","10316",2184
"2009","10316",2260
"2010","10316",2302
"2011","10316",2321
"2012","10316",2372
"2013","10316",2464
"2014","10316",2486
"2015","10316",2498
"2016","10316",2597
"2017","10316",2578
"2018","10316",2614
"2019","10316",2671
"2020","10316",2776
"2021","10316",2932
"2022","10316",2992
"2023","10316",3069
"2024","10316",3028
"2025","10316",2996
"2002","10317",1740
"2003","10317",1760
"2004","10317",1775
"2005","10317",1776
"2006","10317",1779
"2007","10317",1829
"2008","10317",1870
"2009","10317",1871
"2010","10317",1855
"2011","10317",1881
"2012","10317",1905
"2013","10317",1928
"2014","10317",1969
"2015","10317",1999
"2016","10317",2036
"2017","10317",2036
"2018","10317",2064
"2019","10317",2091
"2020","10317",2063
"2021","10317",2067
"2022","10317",2083
"2023","10317",2139
"2024","10317",2156
"2025","10317",2143
"2002","10318",1111
"2003","10318",1145
"2004","10318",1126
"2005","10318",1116
"2006","10318",1136
"2007","10318",1149
"2008","10318",1166
"2009","10318",1200
"2010","10318",1199
"2011","10318",1238
"2012","10318",1267
"2013","10318",1329
"2014","10318",1382
"2015","10318",1412
"2016","10318",1451
"2017","10318",1488
"2018","10318",1549
"2019","10318",1594
"2020","10318",1664
"2021","10318",1702
"2022","10318",1717
"2023","10318",1734
"2024","10318",1741
"2025","10318",1724
"2002","10319",1888
"2003","10319",1896
"2004","10319",1886
"2005","10319",1879
"2006","10319",1869
"2007","10319",1866
"2008","10319",1854
"2009","10319",1851
"2010","10319",1853
"2011","10319",1882
"2012","10319",1885
"2013","10319",1892
"2014","10319",1906
"2015","10319",1895
"2016","10319",1920
"2017","10319",1944
"2018","10319",1944
"2019","10319",1966
"2020","10319",1980
"2021","10319",1982
"2022","10319",1974
"2023","10319",1952
"2024","10319",1947
"2025","10319",1938
"2002","10320",363
"2003","10320",371
"2004","10320",368
"2005","10320",382
"2006","10320",400
"2007","10320",394
"2008","10320",409
"2009","10320",435
"2010","10320",445
"2011","10320",458
"2012","10320",463
"2013","10320",461
"2014","10320",462
"2015","10320",467
"2016","10320",466
"2017","10320",457
"2018","10320",475
"2019","10320",475
"2020","10320",483
"2021","10320",476
"2022","10320",501
"2023","10320",516
"2024","10320",522
"2025","10320",520
"2002","10321",774
"2003","10321",779
"2004","10321",789
"2005","10321",809
"2006","10321",800
"2007","10321",805
"2008","10321",816
"2009","10321",817
"2010","10321",806
"2011","10321",802
"2012","10321",805
"2013","10321",800
"2014","10321",812
"2015","10321",836
"2016","10321",838
"2017","10321",833
"2018","10321",840
"2019","10321",834
"2020","10321",810
"2021","10321",823
"2022","10321",825
"2023","10321",832
"2024","10321",832
"2025","10321",821
"2002","10322",856
"2003","10322",877
"2004","10322",893
"2005","10322",892
"2006","10322",886
"2007","10322",896
"2008","10322",886
"2009","10322",893
"2010","10322",925
"2011","10322",919
"2012","10322",929
"2013","10322",926
"2014","10322",925
"2015","10322",928
"2016","10322",925
"2017","10322",918
"2018","10322",933
"2019","10322",939
"2020","10322",961
"2021","10322",991
"2022","10322",990
"2023","10322",1005
"2024","10322",1020
"2025","10322",1045
"2002","10323",916
"2003","10323",910
"2004","10323",907
"2005","10323",931
"2006","10323",963
"2007","10323",959
"2008","10323",956
"2009","10323",960
"2010","10323",954
"2011","10323",967
"2012","10323",992
"2013","10323",988
"2014","10323",998
"2015","10323",999
"2016","10323",1008
"2017","10323",1017
"2018","10323",1027
"2019","10323",1050
"2020","10323",1076
"2021","10323",1101
"2022","10323",1114
"2023","10323",1147
"2024","10323",1138
"2025","10323",1142
"2002","10401",789
"2003","10401",791
"2004","10401",769
"2005","10401",770
"2006","10401",784
"2007","10401",789
"2008","10401",804
"2009","10401",794
"2010","10401",800
"2011","10401",807
"2012","10401",800
"2013","10401",799
"2014","10401",794
"2015","10401",805
"2016","10401",796
"2017","10401",804
"2018","10401",813
"2019","10401",801
"2020","10401",807
"2021","10401",815
"2022","10401",804
"2023","10401",811
"2024","10401",807
"2025","10401",790
"2002","10402",1312
"2003","10402",1331
"2004","10402",1333
"2005","10402",1352
"2006","10402",1362
"2007","10402",1376
"2008","10402",1384
"2009","10402",1405
"2010","10402",1394
"2011","10402",1349
"2012","10402",1373
"2013","10402",1372
"2014","10402",1360
"2015","10402",1382
"2016","10402",1366
"2017","10402",1362
"2018","10402",1360
"2019","10402",1339
"2020","10402",1326
"2021","10402",1334
"2022","10402",1327
"2023","10402",1469
"2024","10402",1439
"2025","10402",1434
"2002","10403",1005
"2003","10403",993
"2004","10403",964
"2005","10403",952
"2006","10403",945
"2007","10403",947
"2008","10403",978
"2009","10403",970
"2010","10403",1007
"2011","10403",1004
"2012","10403",995
"2013","10403",972
"2014","10403",952
"2015","10403",928
"2016","10403",936
"2017","10403",927
"2018","10403",911
"2019","10403",917
"2020","10403",936
"2021","10403",928
"2022","10403",921
"2023","10403",917
"2024","10403",916
"2025","10403",910
"2002","10404",1061
"2003","10404",1042
"2004","10404",1068
"2005","10404",1046
"2006","10404",1056
"2007","10404",1049
"2008","10404",1064
"2009","10404",1054
"2010","10404",1042
"2011","10404",1044
"2012","10404",1038
"2013","10404",1025
"2014","10404",1007
"2015","10404",1018
"2016","10404",1003
"2017","10404",1006
"2018","10404",1014
"2019","10404",1016
"2020","10404",992
"2021","10404",1003
"2022","10404",1024
"2023","10404",1033
"2024","10404",1017
"2025","10404",1028
"2002","10405",3843
"2003","10405",3840
"2004","10405",3844
"2005","10405",3838
"2006","10405",3814
"2007","10405",3799
"2008","10405",3761
"2009","10405",3748
"2010","10405",3743
"2011","10405",3759
"2012","10405",3791
"2013","10405",3770
"2014","10405",3747
"2015","10405",3713
"2016","10405",3660
"2017","10405",3662
"2018","10405",3655
"2019","10405",3686
"2020","10405",3667
"2021","10405",3665
"2022","10405",3578
"2023","10405",3610
"2024","10405",3590
"2025","10405",3520
"2002","10406",1018
"2003","10406",990
"2004","10406",972
"2005","10406",973
"2006","10406",965
"2007","10406",961
"2008","10406",949
"2009","10406",955
"2010","10406",960
"2011","10406",943
"2012","10406",940
"2013","10406",921
"2014","10406",918
"2015","10406",914
"2016","10406",891
"2017","10406",878
"2018","10406",898
"2019","10406",880
"2020","10406",880
"2021","10406",883
"2022","10406",871
"2023","10406",872
"2024","10406",866
"2025","10406",843
"2002","10407",944
"2003","10407",927
"2004","10407",919
"2005","10407",907
"2006","10407",885
"2007","10407",861
"2008","10407",842
"2009","10407",874
"2010","10407",842
"2011","10407",831
"2012","10407",836
"2013","10407",816
"2014","10407",838
"2015","10407",814
"2016","10407",810
"2017","10407",769
"2018","10407",759
"2019","10407",739
"2020","10407",753
"2021","10407",744
"2022","10407",743
"2023","10407",741
"2024","10407",735
"2025","10407",710
"2002","10408",1997
"2003","10408",1953
"2004","10408",1964
"2005","10408",1968
"2006","10408",1939
"2007","10408",1974
"2008","10408",1991
"2009","10408",1997
"2010","10408",2004
"2011","10408",1990
"2012","10408",2004
"2013","10408",2035
"2014","10408",2036
"2015","10408",2029
"2016","10408",2021
"2017","10408",2025
"2018","10408",2012
"2019","10408",1994
"2020","10408",1983
"2021","10408",2009
"2022","10408",2012
"2023","10408",2004
"2024","10408",2008
"2025","10408",1985
"2002","10409",1064
"2003","10409",1043
"2004","10409",1032
"2005","10409",1009
"2006","10409",1017
"2007","10409",1015
"2008","10409",1022
"2009","10409",1014
"2010","10409",1029
"2011","10409",1026
"2012","10409",1017
"2013","10409",994
"2014","10409",963
"2015","10409",966
"2016","10409",954
"2017","10409",974
"2018","10409",978
"2019","10409",983
"2020","10409",968
"2021","10409",968
"2022","10409",957
"2023","10409",960
"2024","10409",937
"2025","10409",943
"2002","10410",568
"2003","10410",551
"2004","10410",534
"2005","10410",539
"2006","10410",526
"2007","10410",518
"2008","10410",513
"2009","10410",512
"2010","10410",523
"2011","10410",520
"2012","10410",508
"2013","10410",497
"2014","10410",509
"2015","10410",489
"2016","10410",502
"2017","10410",499
"2018","10410",474
"2019","10410",473
"2020","10410",464
"2021","10410",446
"2022","10410",447
"2023","10410",446
"2024","10410",434
"2025","10410",444
"2002","10411",1403
"2003","10411",1384
"2004","10411",1368
"2005","10411",1357
"2006","10411",1336
"2007","10411",1359
"2008","10411",1367
"2009","10411",1392
"2010","10411",1373
"2011","10411",1414
"2012","10411",1405
"2013","10411",1429
"2014","10411",1443
"2015","10411",1462
"2016","10411",1477
"2017","10411",1475
"2018","10411",1449
"2019","10411",1436
"2020","10411",1433
"2021","10411",1457
"2022","10411",1458
"2023","10411",1490
"2024","10411",1485
"2025","10411",1470
"2002","10412",994
"2003","10412",983
"2004","10412",998
"2005","10412",983
"2006","10412",985
"2007","10412",980
"2008","10412",976
"2009","10412",973
"2010","10412",960
"2011","10412",975
"2012","10412",976
"2013","10412",999
"2014","10412",988
"2015","10412",994
"2016","10412",980
"2017","10412",948
"2018","10412",933
"2019","10412",933
"2020","10412",938
"2021","10412",921
"2022","10412",921
"2023","10412",944
"2024","10412",959
"2025","10412",955
"2002","10413",1087
"2003","10413",1065
"2004","10413",1067
"2005","10413",1067
"2006","10413",1057
"2007","10413",1036
"2008","10413",1051
"2009","10413",1049
"2010","10413",1028
"2011","10413",1023
"2012","10413",1015
"2013","10413",1000
"2014","10413",1002
"2015","10413",995
"2016","10413",997
"2017","10413",960
"2018","10413",963
"2019","10413",967
"2020","10413",977
"2021","10413",987
"2022","10413",986
"2023","10413",1010
"2024","10413",1015
"2025","10413",1007
"2002","10414",2379
"2003","10414",2377
"2004","10414",2387
"2005","10414",2428
"2006","10414",2435
"2007","10414",2447
"2008","10414",2434
"2009","10414",2475
"2010","10414",2486
"2011","10414",2521
"2012","10414",2553
"2013","10414",2558
"2014","10414",2559
"2015","10414",2550
"2016","10414",2616
"2017","10414",2619
"2018","10414",2658
"2019","10414",2671
"2020","10414",2661
"2021","10414",2688
"2022","10414",2701
"2023","10414",2744
"2024","10414",2752
"2025","10414",2741
"2002","10415",1376
"2003","10415",1424
"2004","10415",1427
"2005","10415",1430
"2006","10415",1390
"2007","10415",1396
"2008","10415",1378
"2009","10415",1391
"2010","10415",1383
"2011","10415",1352
"2012","10415",1410
"2013","10415",1379
"2014","10415",1369
"2015","10415",1333
"2016","10415",1341
"2017","10415",1297
"2018","10415",1263
"2019","10415",1228
"2020","10415",1195
"2021","10415",1218
"2022","10415",1205
"2023","10415",1275
"2024","10415",1254
"2025","10415",1193
"2002","10416",926
"2003","10416",914
"2004","10416",905
"2005","10416",913
"2006","10416",924
"2007","10416",929
"2008","10416",933
"2009","10416",918
"2010","10416",944
"2011","10416",941
"2012","10416",928
"2013","10416",938
"2014","10416",919
"2015","10416",927
"2016","10416",919
"2017","10416",891
"2018","10416",900
"2019","10416",898
"2020","10416",871
"2021","10416",872
"2022","10416",886
"2023","10416",921
"2024","10416",910
"2025","10416",934
"2002","10417",1388
"2003","10417",1399
"2004","10417",1397
"2005","10417",1413
"2006","10417",1456
"2007","10417",1458
"2008","10417",1448
"2009","10417",1448
"2010","10417",1432
"2011","10417",1388
"2012","10417",1392
"2013","10417",1431
"2014","10417",1414
"2015","10417",1434
"2016","10417",1423
"2017","10417",1406
"2018","10417",1372
"2019","10417",1366
"2020","10417",1359
"2021","10417",1342
"2022","10417",1351
"2023","10417",1388
"2024","10417",1400
"2025","10417",1369
"2002","10418",377
"2003","10418",366
"2004","10418",364
"2005","10418",352
"2006","10418",347
"2007","10418",351
"2008","10418",357
"2009","10418",357
"2010","10418",358
"2011","10418",364
"2012","10418",363
"2013","10418",352
"2014","10418",360
"2015","10418",359
"2016","10418",367
"2017","10418",356
"2018","10418",357
"2019","10418",355
"2020","10418",368
"2021","10418",364
"2022","10418",363
"2023","10418",373
"2024","10418",374
"2025","10418",383
"2002","10419",485
"2003","10419",480
"2004","10419",476
"2005","10419",479
"2006","10419",484
"2007","10419",495
"2008","10419",481
"2009","10419",491
"2010","10419",506
"2011","10419",494
"2012","10419",503
"2013","10419",510
"2014","10419",491
"2015","10419",485
"2016","10419",530
"2017","10419",505
"2018","10419",488
"2019","10419",487
"2020","10419",483
"2021","10419",479
"2022","10419",481
"2023","10419",534
"2024","10419",533
"2025","10419",538
"2002","10420",277
"2003","10420",277
"2004","10420",266
"2005","10420",264
"2006","10420",273
"2007","10420",271
"2008","10420",272
"2009","10420",277
"2010","10420",272
"2011","10420",268
"2012","10420",262
"2013","10420",260
"2014","10420",254
"2015","10420",248
"2016","10420",245
"2017","10420",239
"2018","10420",242
"2019","10420",240
"2020","10420",237
"2021","10420",235
"2022","10420",233
"2023","10420",226
"2024","10420",238
"2025","10420",232
"2002","10421",324
"2003","10421",316
"2004","10421",314
"2005","10421",314
"2006","10421",312
"2007","10421",317
"2008","10421",313
"2009","10421",315
"2010","10421",335
"2011","10421",328
"2012","10421",327
"2013","10421",338
"2014","10421",348
"2015","10421",340
"2016","10421",341
"2017","10421",338
"2018","10421",334
"2019","10421",335
"2020","10421",315
"2021","10421",330
"2022","10421",330
"2023","10421",331
"2024","10421",329
"2025","10421",336
"2002","10422",258
"2003","10422",258
"2004","10422",254
"2005","10422",257
"2006","10422",253
"2007","10422",251
"2008","10422",251
"2009","10422",249
"2010","10422",254
"2011","10422",256
"2012","10422",250
"2013","10422",253
"2014","10422",245
"2015","10422",244
"2016","10422",239
"2017","10422",230
"2018","10422",226
"2019","10422",220
"2020","10422",230
"2021","10422",229
"2022","10422",231
"2023","10422",230
"2024","10422",227
"2025","10422",227
"2002","10423",68
"2003","10423",69
"2004","10423",70
"2005","10423",70
"2006","10423",67
"2007","10423",66
"2008","10423",65
"2009","10423",67
"2010","10423",64
"2011","10423",68
"2012","10423",72
"2013","10423",66
"2014","10423",63
"2015","10423",58
"2016","10423",59
"2017","10423",59
"2018","10423",62
"2019","10423",65
"2020","10423",65
"2021","10423",67
"2022","10423",65
"2023","10423",68
"2024","10423",66
"2025","10423",64
"2002","10424",254
"2003","10424",247
"2004","10424",248
"2005","10424",245
"2006","10424",240
"2007","10424",232
"2008","10424",230
"2009","10424",236
"2010","10424",225
"2011","10424",229
"2012","10424",223
"2013","10424",212
"2014","10424",204
"2015","10424",208
"2016","10424",204
"2017","10424",206
"2018","10424",216
"2019","10424",218
"2020","10424",232
"2021","10424",227
"2022","10424",224
"2023","10424",222
"2024","10424",226
"2025","10424",233
"2002","10425",395
"2003","10425",385
"2004","10425",383
"2005","10425",390
"2006","10425",397
"2007","10425",391
"2008","10425",382
"2009","10425",395
"2010","10425",394
"2011","10425",398
"2012","10425",383
"2013","10425",385
"2014","10425",390
"2015","10425",376
"2016","10425",393
"2017","10425",387
"2018","10425",380
"2019","10425",377
"2020","10425",376
"2021","10425",379
"2022","10425",367
"2023","10425",365
"2024","10425",362
"2025","10425",369
"2002","10426",350
"2003","10426",340
"2004","10426",333
"2005","10426",323
"2006","10426",323
"2007","10426",321
"2008","10426",316
"2009","10426",322
"2010","10426",328
"2011","10426",340
"2012","10426",363
"2013","10426",363
"2014","10426",341
"2015","10426",340
"2016","10426",338
"2017","10426",342
"2018","10426",343
"2019","10426",336
"2020","10426",347
"2021","10426",334
"2022","10426",341
"2023","10426",338
"2024","10426",348
"2025","10426",352
"2002","10427",467
"2003","10427",461
"2004","10427",462
"2005","10427",460
"2006","10427",474
"2007","10427",476
"2008","10427",466
"2009","10427",462
"2010","10427",458
"2011","10427",450
"2012","10427",458
"2013","10427",461
"2014","10427",456
"2015","10427",443
"2016","10427",459
"2017","10427",463
"2018","10427",446
"2019","10427",440
"2020","10427",442
"2021","10427",460
"2022","10427",454
"2023","10427",464
"2024","10427",475
"2025","10427",478
"2002","10428",458
"2003","10428",446
"2004","10428",438
"2005","10428",432
"2006","10428",429
"2007","10428",424
"2008","10428",422
"2009","10428",423
"2010","10428",423
"2011","10428",415
"2012","10428",409
"2013","10428",414
"2014","10428",424
"2015","10428",418
"2016","10428",399
"2017","10428",406
"2018","10428",400
"2019","10428",397
"2020","10428",394
"2021","10428",386
"2022","10428",387
"2023","10428",379
"2024","10428",370
"2025","10428",364
"2002","10501",1812
"2003","10501",1803
"2004","10501",1769
"2005","10501",1761
"2006","10501",1786
"2007","10501",1760
"2008","10501",1764
"2009","10501",1775
"2010","10501",1748
"2011","10501",1753
"2012","10501",1762
"2013","10501",1753
"2014","10501",1754
"2015","10501",1699
"2016","10501",1717
"2017","10501",1708
"2018","10501",1721
"2019","10501",1746
"2020","10501",1734
"2021","10501",1715
"2022","10501",1752
"2023","10501",1743
"2024","10501",1730
"2025","10501",1730
"2002","10502",1030
"2003","10502",1017
"2004","10502",1012
"2005","10502",1023
"2006","10502",1011
"2007","10502",1007
"2008","10502",1012
"2009","10502",990
"2010","10502",983
"2011","10502",968
"2012","10502",976
"2013","10502",981
"2014","10502",970
"2015","10502",952
"2016","10502",946
"2017","10502",978
"2018","10502",954
"2019","10502",942
"2020","10502",920
"2021","10502",901
"2022","10502",903
"2023","10502",922
"2024","10502",908
"2025","10502",900
"2002","10503",1243
"2003","10503",1234
"2004","10503",1227
"2005","10503",1221
"2006","10503",1247
"2007","10503",1266
"2008","10503",1238
"2009","10503",1265
"2010","10503",1256
"2011","10503",1267
"2012","10503",1287
"2013","10503",1260
"2014","10503",1251
"2015","10503",1236
"2016","10503",1244
"2017","10503",1239
"2018","10503",1231
"2019","10503",1215
"2020","10503",1234
"2021","10503",1262
"2022","10503",1262
"2023","10503",1283
"2024","10503",1268
"2025","10503",1242
"2002","10504",4258
"2003","10504",4251
"2004","10504",4211
"2005","10504",4226
"2006","10504",4250
"2007","10504",4234
"2008","10504",4211
"2009","10504",4207
"2010","10504",4220
"2011","10504",4232
"2012","10504",4198
"2013","10504",4161
"2014","10504",4126
"2015","10504",4078
"2016","10504",4127
"2017","10504",4165
"2018","10504",4096
"2019","10504",4105
"2020","10504",4111
"2021","10504",4121
"2022","10504",4154
"2023","10504",4143
"2024","10504",4168
"2025","10504",4159
"2002","10505",1170
"2003","10505",1166
"2004","10505",1154
"2005","10505",1147
"2006","10505",1145
"2007","10505",1143
"2008","10505",1136
"2009","10505",1140
"2010","10505",1133
"2011","10505",1108
"2012","10505",1122
"2013","10505",1085
"2014","10505",1085
"2015","10505",1082
"2016","10505",1092
"2017","10505",1060
"2018","10505",1054
"2019","10505",1040
"2020","10505",1047
"2021","10505",1065
"2022","10505",1057
"2023","10505",1041
"2024","10505",1045
"2025","10505",1041
"2002","10506",1210
"2003","10506",1215
"2004","10506",1203
"2005","10506",1178
"2006","10506",1165
"2007","10506",1156
"2008","10506",1152
"2009","10506",1156
"2010","10506",1139
"2011","10506",1144
"2012","10506",1179
"2013","10506",1178
"2014","10506",1155
"2015","10506",1154
"2016","10506",1154
"2017","10506",1187
"2018","10506",1164
"2019","10506",1142
"2020","10506",1149
"2021","10506",1148
"2022","10506",1136
"2023","10506",1171
"2024","10506",1167
"2025","10506",1153
"2002","10507",1033
"2003","10507",1012
"2004","10507",1004
"2005","10507",979
"2006","10507",974
"2007","10507",982
"2008","10507",973
"2009","10507",961
"2010","10507",952
"2011","10507",927
"2012","10507",949
"2013","10507",961
"2014","10507",951
"2015","10507",952
"2016","10507",950
"2017","10507",930
"2018","10507",921
"2019","10507",912
"2020","10507",898
"2021","10507",920
"2022","10507",917
"2023","10507",931
"2024","10507",901
"2025","10507",879
"2002","10508",2081
"2003","10508",2114
"2004","10508",2138
"2005","10508",2177
"2006","10508",2168
"2007","10508",2154
"2008","10508",2149
"2009","10508",2165
"2010","10508",2147
"2011","10508",2171
"2012","10508",2189
"2013","10508",2204
"2014","10508",2186
"2015","10508",2177
"2016","10508",2207
