"jahr";"gemnr";"yearmean_pop"
2002;"70909";3496,25
2002;"70910";1174,75
2002;"70911";517,875
2002;"70912";805,125
2002;"70913";403,375
2002;"70914";674,625
2002;"70915";1301,375
2002;"70916";1411,625
2002;"70917";6677,5
2002;"70918";1148,375
2002;"70920";3801,25
2002;"70921";1055,25
2002;"70922";1436,5
2002;"70923";1186,875
2002;"70924";378,5
2002;"70925";1277,625
2002;"70926";12222,625
2002;"70927";1430,75
2002;"70928";1880,875
2002;"70929";295,5
2002;"70930";810,625
2002;"70931";1780,75
2002;"70932";782,5
2002;"70933";1987,125
2002;"70934";1958,625
2002;"70935";1519,25
2002;"70936";4413
2002;"70937";1443,875
2002;"70938";2201,125
2002;"70939";1820,125
2002;"70940";1869
2002;"70941";669
2003;"70101";113139,375
2003;"70201";2822,375
2003;"70202";3928,625
2003;"70203";8895,875
2003;"70204";735
2003;"70205";921,5
2003;"70206";591
2003;"70207";703,5
2003;"70208";4143,625
2003;"70209";2981,125
2003;"70210";539,375
2003;"70211";1206,375
2003;"70212";2024,375
2003;"70213";1011,125
2003;"70214";2207,375
2003;"70215";2038,375
2003;"70216";1606,25
2003;"70217";1511,875
2003;"70218";1311,875
2003;"70219";2429,5
2003;"70220";3449,125
2003;"70221";1272,5
2003;"70222";2543,375
2003;"70223";2884
2003;"70224";1991,25
2003;"70301";6448,375
2003;"70302";1978,75
2003;"70303";1343,25
2003;"70304";5339,75
2003;"70305";1092,875
2003;"70306";1196,375
2003;"70307";1079,625
2003;"70308";1134,75
2003;"70309";2013,125
2003;"70310";3986,375
2003;"70311";664,25
2003;"70312";3663,5
2003;"70313";1223,75
2003;"70314";580,625
2003;"70315";1310
2003;"70317";444,875
2003;"70318";1037,375
2003;"70319";3260,875
2003;"70320";2565,75
2003;"70322";1422,375
2003;"70323";729,5
2003;"70325";901,75
2003;"70326";2043
2003;"70328";1632
2003;"70329";3875,25
2003;"70331";1960,625
2003;"70332";1852,75
2003;"70333";1903,375
2003;"70334";4462,25
2003;"70335";1603,75
2003;"70336";355,25
2003;"70337";2764,375
2003;"70338";871
2003;"70339";959,25
2003;"70340";1117,75
2003;"70342";789,375
2003;"70343";851,375
2003;"70344";1115,125
2003;"70345";1423,375
2003;"70346";8406,875
2003;"70347";194,125
2003;"70348";1252,5
2003;"70349";890,75
2003;"70350";992,375
2003;"70351";3034,375
2003;"70352";1359,875
2003;"70353";1809
2003;"70354";11566,875
2003;"70355";3265,125
2003;"70356";1373,875
2003;"70357";13269
2003;"70358";3547,375
2003;"70359";1188,375
2003;"70360";1350
2003;"70361";191,375
2003;"70362";508,375
2003;"70364";6724,5
2003;"70365";4174,875
2003;"70366";704
2003;"70367";7410,375
2003;"70368";786,375
2003;"70369";6431
2003;"70401";1211,25
2003;"70402";2581
2003;"70403";4259,875
2003;"70404";1754,75
2003;"70405";1095,75
2003;"70406";5286,875
2003;"70407";1064,75
2003;"70408";1519,75
2003;"70409";5017,25
2003;"70410";3539,125
2003;"70411";8484,875
2003;"70412";4101,375
2003;"70413";1934,5
2003;"70414";1647,5
2003;"70415";641,875
2003;"70416";8050,75
2003;"70417";1448,875
2003;"70418";754,75
2003;"70419";1831,25
2003;"70420";3468,375
2003;"70501";2517,125
2003;"70502";930,375
2003;"70503";2316,875
2003;"70504";1516,5
2003;"70505";3186
2003;"70506";2793,25
2003;"70508";4964,625
2003;"70509";2598,625
2003;"70510";1408,5
2003;"70511";5164,875
2003;"70512";4455,875
2003;"70513";15686,375
2003;"70514";3829,25
2003;"70515";3552,5
2003;"70516";282,75
2003;"70517";2790,5
2003;"70518";2485,375
2003;"70519";652,5
2003;"70520";2146,5
2003;"70521";435
2003;"70522";2655,75
2003;"70523";424,875
2003;"70524";1289,875
2003;"70525";2258,25
2003;"70526";3450,75
2003;"70527";2737
2003;"70528";1668,25
2003;"70529";1762,5
2003;"70530";4132,75
2003;"70531";11318,5
2003;"70601";272,875
2003;"70602";259,125
2003;"70603";929
2003;"70604";2945,125
2003;"70605";940,625
2003;"70606";824,25
2003;"70607";1307,625
2003;"70608";1715,375
2003;"70609";2617,125
2003;"70610";350,375
2003;"70611";604
2003;"70612";451,25
2003;"70613";542
2003;"70614";7421,25
2003;"70615";1629,125
2003;"70616";1487,75
2003;"70617";2517,75
2003;"70618";807,625
2003;"70619";1721,75
2003;"70620";1258,625
2003;"70621";2725,875
2003;"70622";1665
2003;"70623";1126,625
2003;"70624";1222,375
2003;"70625";141,5
2003;"70626";607,625
2003;"70627";1231,5
2003;"70628";527,5
2003;"70629";681,5
2003;"70630";3366,75
2003;"70701";638
2003;"70702";1002,625
2003;"70703";321,25
2003;"70704";1326,375
2003;"70705";2029,625
2003;"70706";891,375
2003;"70707";2224,75
2003;"70708";789,375
2003;"70709";812,625
2003;"70710";985,625
2003;"70711";588
2003;"70712";1296,125
2003;"70713";890,75
2003;"70714";277,125
2003;"70715";892,5
2003;"70716";11955,125
2003;"70717";4899,625
2003;"70718";851,375
2003;"70719";3134,875
2003;"70720";1448,375
2003;"70721";766,625
2003;"70723";1263
2003;"70724";986,125
2003;"70725";305,5
2003;"70726";774,125
2003;"70727";498,625
2003;"70728";2094
2003;"70729";883,625
2003;"70731";639
2003;"70732";1307,625
2003;"70733";263,625
2003;"70734";2124,125
2003;"70735";1002,625
2003;"70801";689,25
2003;"70802";611
2003;"70803";601,875
2003;"70804";857,25
2003;"70805";1579,125
2003;"70806";708,25
2003;"70807";2636,875
2003;"70808";825,625
2003;"70809";395,75
2003;"70810";285,875
2003;"70811";603,625
2003;"70812";59,625
2003;"70813";700,875
2003;"70814";536,5
2003;"70815";94,125
2003;"70816";1281
2003;"70817";466
2003;"70818";323,125
2003;"70819";85,375
2003;"70820";1972,25
2003;"70821";1062,125
2003;"70822";362,625
2003;"70823";106,875
2003;"70824";449,125
2003;"70825";131,875
2003;"70826";1086,875
2003;"70827";422
2003;"70828";5774,75
2003;"70829";411,375
2003;"70830";417,125
2003;"70831";717,25
2003;"70832";1081,75
2003;"70833";1636,375
2003;"70834";274,25
2003;"70835";916
2003;"70836";1312,625
2003;"70837";238,125
2003;"70901";2076,5
2003;"70902";1583,5
2003;"70903";349,625
2003;"70904";935,125
2003;"70905";2452,125
2003;"70907";2707,5
2003;"70908";1525,5
2003;"70909";3538
2003;"70910";1190,75
2003;"70911";535,375
2003;"70912";800,25
2003;"70913";416,625
2003;"70914";662,75
2003;"70915";1305,25
2003;"70916";1412,375
2003;"70917";6733,25
2003;"70918";1148
2003;"70920";3841
2003;"70921";1061,125
2003;"70922";1472,25
2003;"70923";1224,25
2003;"70924";384,875
2003;"70925";1307,375
2003;"70926";12275,5
2003;"70927";1428
2003;"70928";1886,625
2003;"70929";286,25
2003;"70930";824,5
2003;"70931";1793,25
2003;"70932";768,25
2003;"70933";2021,875
2003;"70934";1961,25
2003;"70935";1527,625
2003;"70936";4428,5
2003;"70937";1470
2003;"70938";2206,5
2003;"70939";1845,25
2003;"70940";1847
2003;"70941";652,5
2004;"70101";113855,875
2004;"70201";2894,625
2004;"70202";3935,625
2004;"70203";8997,375
2004;"70204";737,125
2004;"70205";933,625
2004;"70206";592,5
2004;"70207";696,75
2004;"70208";4192,375
2004;"70209";3012,875
2004;"70210";549
2004;"70211";1240,375
2004;"70212";2049,5
2004;"70213";1056,875
2004;"70214";2234,25
2004;"70215";2012,875
2004;"70216";1618,375
2004;"70217";1511,125
2004;"70218";1318,75
2004;"70219";2422
2004;"70220";3504,25
2004;"70221";1273,75
2004;"70222";2566,25
2004;"70223";2902,125
2004;"70224";2004,375
