"jahr","gemnr","gemname","geschl","alter","n","typ"
2025,"70203","Imst ","weiblich","20 bis 24 Jahre",286,"Städte"
2025,"70203","Imst ","weiblich","25 bis 29 Jahre",374,"Städte"
2025,"70203","Imst ","weiblich","30 bis 34 Jahre",365,"Städte"
2025,"70203","Imst ","weiblich","35 bis 39 Jahre",392,"Städte"
2025,"70203","Imst ","weiblich","40 bis 44 Jahre",373,"Städte"
2025,"70204","Imsterberg ","männlich","bis 4 Jahre",25,"Suburbaner Raum"
2025,"70204","Imsterberg ","männlich","5 bis 9 Jahre",42,"Suburbaner Raum"
2025,"70204","Imsterberg ","männlich","10 bis 14 Jahre",18,"Suburbaner Raum"
2025,"70204","Imsterberg ","männlich","15 bis 19 Jahre",19,"Suburbaner Raum"
2025,"70204","Imsterberg ","männlich","20 bis 24 Jahre",20,"Suburbaner Raum"
2025,"70204","Imsterberg ","männlich","25 bis 29 Jahre",35,"Suburbaner Raum"
2025,"70204","Imsterberg ","männlich","30 bis 34 Jahre",24,"Suburbaner Raum"
2025,"70204","Imsterberg ","männlich","35 bis 39 Jahre",33,"Suburbaner Raum"
2025,"70204","Imsterberg ","männlich","40 bis 44 Jahre",26,"Suburbaner Raum"
2025,"70204","Imsterberg ","weiblich","bis 4 Jahre",23,"Suburbaner Raum"
2025,"70204","Imsterberg ","weiblich","5 bis 9 Jahre",34,"Suburbaner Raum"
2025,"70204","Imsterberg ","weiblich","10 bis 14 Jahre",23,"Suburbaner Raum"
2025,"70204","Imsterberg ","weiblich","15 bis 19 Jahre",14,"Suburbaner Raum"
2025,"70204","Imsterberg ","weiblich","20 bis 24 Jahre",22,"Suburbaner Raum"
2025,"70204","Imsterberg ","weiblich","25 bis 29 Jahre",27,"Suburbaner Raum"
2025,"70204","Imsterberg ","weiblich","30 bis 34 Jahre",33,"Suburbaner Raum"
2025,"70204","Imsterberg ","weiblich","35 bis 39 Jahre",33,"Suburbaner Raum"
2025,"70204","Imsterberg ","weiblich","40 bis 44 Jahre",31,"Suburbaner Raum"
2025,"70205","Jerzens ","männlich","bis 4 Jahre",24,"Ländlicher Raum"
2025,"70205","Jerzens ","männlich","5 bis 9 Jahre",23,"Ländlicher Raum"
2025,"70205","Jerzens ","männlich","10 bis 14 Jahre",21,"Ländlicher Raum"
2025,"70205","Jerzens ","männlich","15 bis 19 Jahre",23,"Ländlicher Raum"
2025,"70205","Jerzens ","männlich","20 bis 24 Jahre",26,"Ländlicher Raum"
2025,"70205","Jerzens ","männlich","25 bis 29 Jahre",26,"Ländlicher Raum"
2025,"70205","Jerzens ","männlich","30 bis 34 Jahre",30,"Ländlicher Raum"
2025,"70205","Jerzens ","männlich","35 bis 39 Jahre",40,"Ländlicher Raum"
2025,"70205","Jerzens ","männlich","40 bis 44 Jahre",36,"Ländlicher Raum"
2025,"70205","Jerzens ","weiblich","bis 4 Jahre",15,"Ländlicher Raum"
2025,"70205","Jerzens ","weiblich","5 bis 9 Jahre",22,"Ländlicher Raum"
2025,"70205","Jerzens ","weiblich","10 bis 14 Jahre",15,"Ländlicher Raum"
