"jahr","gemnr","pop","bi_zu","bi_weg","au_zu","au_weg","bi_saldo","au_saldo","bld"
2002,10101,11644,527,420,92,127,107,-35,"1"
2003,10101,11699,475,403,145,101,72,44,"1"
2004,10101,11799,652,446,141,122,206,19,"1"
2005,10101,12045,586,492,134,81,94,53,"1"
2006,10101,12171,677,485,116,123,192,-7,"1"
2007,10101,12350,731,578,224,163,153,61,"1"
2008,10101,12549,752,571,259,260,181,-1,"1"
2009,10101,12717,681,611,282,226,70,56,"1"
2010,10101,12816,681,606,288,208,75,80,"1"
2011,10101,12950,714,610,313,245,104,68,"1"
2012,10101,13112,838,695,366,263,143,103,"1"
2013,10101,13351,795,771,350,235,24,115,"1"
2014,10101,13485,797,846,429,181,-49,248,"1"
2015,10101,13664,925,1127,982,173,-202,809,"1"
2016,10101,14226,885,861,375,289,24,86,"1"
2017,10101,14339,945,815,302,246,130,56,"1"
2018,10101,14476,1090,965,322,282,125,40,"1"
2019,10101,14637,1059,908,370,325,151,45,"1"
2020,10101,14816,1013,959,311,254,54,57,"1"
2021,10101,14895,1108,858,372,242,250,130,"1"
2022,10101,15240,1217,1084,694,279,133,415,"1"
2023,10101,15729,1185,1143,616,300,42,316,"1"
2002,10201,1730,42,32,8,16,10,-8,"1"
2003,10201,1730,61,36,22,14,25,8,"1"
2004,10201,1761,60,46,37,8,14,29,"1"
2005,10201,1797,44,41,11,12,3,-1,"1"
2006,10201,1803,55,44,22,14,11,8,"1"
2007,10201,1815,48,46,12,13,2,-1,"1"
2008,10201,1814,118,64,17,10,54,7,"1"
2009,10201,1873,65,47,18,18,18,0,"1"
2010,10201,1875,63,36,20,14,27,6,"1"
2011,10201,1888,64,53,7,16,11,-9,"1"
2012,10201,1887,67,36,15,9,31,6,"1"
2013,10201,1918,88,56,20,4,32,16,"1"
2014,10201,1942,57,61,9,9,-4,0,"1"
2015,10201,1929,78,70,14,8,8,6,"1"
2016,10201,1911,75,61,10,9,14,1,"1"
2017,10201,1900,81,44,10,9,37,1,"1"
2018,10201,1921,95,54,6,4,41,2,"1"
2019,10201,1940,109,61,22,1,48,21,"1"
2020,10201,1980,92,55,9,6,37,3,"1"
2021,10201,2000,103,72,4,8,31,-4,"1"
2022,10201,1984,102,94,37,23,8,14,"1"
2023,10201,1964,103,56,11,4,47,7,"1"
2002,10301,1722,47,42,11,10,5,1,"1"
2003,10301,1726,54,41,10,6,13,4,"1"
2004,10301,1746,59,46,8,10,13,-2,"1"
2005,10301,1758,91,82,16,16,9,0,"1"
2006,10301,1766,66,42,24,12,24,12,"1"
2007,10301,1784,88,62,19,19,26,0,"1"
2008,10301,1816,98,68,14,3,30,11,"1"
2009,10301,1849,92,56,13,4,36,9,"1"
2010,10301,1885,81,69,5,9,12,-4,"1"
2011,10301,1891,87,69,12,12,18,0,"1"
2012,10301,1906,84,73,10,8,11,2,"1"
2013,10301,1908,85,84,14,8,1,6,"1"
2014,10301,1918,77,77,9,7,0,2,"1"
2015,10301,1910,68,71,16,2,-3,14,"1"
2016,10301,1913,121,91,12,15,30,-3,"1"
2017,10301,1938,78,75,11,8,3,3,"1"
2018,10301,1938,73,102,10,7,-29,3,"1"
2019,10301,1910,69,101,10,12,-32,-2,"1"
2020,10301,1871,105,86,18,12,19,6,"1"
2021,10301,1883,78,72,9,4,6,5,"1"
2022,10301,1890,105,67,27,16,38,11,"1"
2023,10301,1932,64,75,12,13,-11,-1,"1"
2002,10302,1639,45,36,14,13,9,1,"1"
2003,10302,1649,50,37,19,12,13,7,"1"
2004,10302,1661,70,44,21,12,26,9,"1"
2005,10302,1697,60,60,18,8,0,10,"1"
2006,10302,1702,68,50,16,15,18,1,"1"
2007,10302,1718,74,60,12,11,14,1,"1"
2008,10302,1717,76,66,9,6,10,3,"1"
2009,10302,1729,56,63,5,6,-7,-1,"1"
2010,10302,1715,48,44,5,9,4,-4,"1"
2011,10302,1719,75,43,9,6,32,3,"1"
2012,10302,1743,62,65,9,9,-3,0,"1"
2013,10302,1732,75,68,10,6,7,4,"1"
2014,10302,1733,70,64,11,4,6,7,"1"
2015,10302,1739,72,62,12,8,10,4,"1"
2016,10302,1746,113,60,9,3,53,6,"1"
2017,10302,1800,83,70,5,5,13,0,"1"
2018,10302,1810,69,64,12,6,5,6,"1"
2019,10302,1822,84,53,16,7,31,9,"1"
2020,10302,1843,85,82,11,10,3,1,"1"
2021,10302,1841,92,78,7,7,14,0,"1"
2022,10302,1846,86,77,17,17,9,0,"1"
2023,10302,1844,104,61,12,13,43,-1,"1"
2002,10303,1808,61,54,12,11,7,1,"1"
2003,10303,1815,47,56,9,8,-9,1,"1"
2004,10303,1804,65,72,21,3,-7,18,"1"
2005,10303,1818,72,56,17,12,16,5,"1"
2006,10303,1847,47,54,8,14,-7,-6,"1"
2007,10303,1823,90,62,7,9,28,-2,"1"
2008,10303,1845,81,80,7,4,1,3,"1"
2009,10303,1857,85,50,10,9,35,1,"1"
2010,10303,1888,82,68,15,7,14,8,"1"
2011,10303,1910,124,105,10,7,19,3,"1"
2012,10303,1939,116,65,16,8,51,8,"1"
2013,10303,1998,98,68,19,11,30,8,"1"
2014,10303,2032,113,86,10,17,27,-7,"1"
2015,10303,2048,85,68,10,10,17,0,"1"
2016,10303,2067,92,78,19,6,14,13,"1"
2017,10303,2082,56,81,8,10,-25,-2,"1"
2018,10303,2048,108,81,10,6,27,4,"1"
2019,10303,2080,133,110,15,9,23,6,"1"
2020,10303,2104,108,95,9,4,13,5,"1"
2021,10303,2122,85,90,12,8,-5,4,"1"
2022,10303,2122,52,83,12,9,-31,3,"1"
2023,10303,2091,67,89,17,2,-22,15,"1"
2002,10304,2635,120,113,30,25,7,5,"1"
2003,10304,2645,88,124,24,16,-36,8,"1"
2004,10304,2616,115,111,18,10,4,8,"1"
2005,10304,2624,78,92,15,4,-14,11,"1"
2006,10304,2609,117,111,11,7,6,4,"1"
2007,10304,2609,165,99,19,10,66,9,"1"
2008,10304,2678,140,85,32,15,55,17,"1"
2009,10304,2738,128,115,18,29,13,-11,"1"
2010,10304,2724,124,66,19,22,58,-3,"1"
2011,10304,2762,156,135,22,22,21,0,"1"
2012,10304,2765,155,125,12,15,30,-3,"1"
2013,10304,2788,138,115,14,13,23,1,"1"
2014,10304,2801,159,116,30,13,43,17,"1"
2015,10304,2859,151,89,24,10,62,14,"1"
2016,10304,2914,151,110,21,22,41,-1,"1"
2017,10304,2964,178,129,27,12,49,15,"1"
2018,10304,3012,192,110,27,16,82,11,"1"
2019,10304,3091,171,140,27,13,31,14,"1"
2020,10304,3129,176,143,27,8,33,19,"1"
2021,10304,3176,157,122,17,14,35,3,"1"
2022,10304,3217,151,114,39,19,37,20,"1"
2023,10304,3270,178,142,27,12,36,15,"1"
2002,10305,1175,44,36,10,6,8,4,"1"
2003,10305,1181,32,30,4,6,2,-2,"1"
2004,10305,1180,33,48,10,3,-15,7,"1"
2005,10305,1170,37,39,13,3,-2,10,"1"
2006,10305,1170,32,41,12,9,-9,3,"1"
2007,10305,1160,21,40,11,8,-19,3,"1"
2008,10305,1139,45,24,27,8,21,19,"1"
2009,10305,1178,45,38,15,14,7,1,"1"
2010,10305,1173,41,27,18,13,14,5,"1"
2011,10305,1189,36,47,11,16,-11,-5,"1"
2012,10305,1166,42,33,14,11,9,3,"1"
2013,10305,1172,40,45,21,5,-5,16,"1"
2014,10305,1180,32,44,18,10,-12,8,"1"
2015,10305,1177,99,118,102,11,-19,91,"1"
2016,10305,1246,96,194,122,43,-98,79,"1"
2017,10305,1223,49,132,85,44,-83,41,"1"
2018,10305,1172,60,61,11,18,-1,-7,"1"
2019,10305,1153,48,44,6,11,4,-5,"1"
2020,10305,1147,97,43,15,3,54,12,"1"
2021,10305,1223,229,338,175,30,-109,145,"1"
2022,10305,1255,250,468,281,34,-218,247,"1"
2023,10305,1280,277,453,197,33,-176,164,"1"
2002,10306,1174,18,16,3,2,2,1,"1"
2003,10306,1182,20,32,3,2,-12,1,"1"
2004,10306,1175,22,28,1,1,-6,0,"1"
2005,10306,1172,20,27,2,1,-7,1,"1"
2006,10306,1165,11,18,3,1,-7,2,"1"
2007,10306,1157,21,24,1,1,-3,0,"1"
2008,10306,1155,29,25,4,2,4,2,"1"
2009,10306,1156,31,23,2,4,8,-2,"1"
2010,10306,1157,31,28,2,3,3,-1,"1"
2011,10306,1155,32,27,2,2,5,0,"1"
2012,10306,1158,51,35,4,4,16,0,"1"
2013,10306,1169,33,28,2,1,5,1,"1"
2014,10306,1173,27,32,6,2,-5,4,"1"
2015,10306,1173,49,39,1,0,10,1,"1"
2016,10306,1187,36,44,1,2,-8,-1,"1"
2017,10306,1174,36,21,5,2,15,3,"1"
2018,10306,1193,36,34,8,4,2,4,"1"
2019,10306,1198,48,37,4,4,11,0,"1"
2020,10306,1208,45,39,3,3,6,0,"1"
2021,10306,1217,33,36,6,7,-3,-1,"1"
2022,10306,1212,39,35,8,2,4,6,"1"
2023,10306,1217,55,30,3,5,25,-2,"1"
2002,10307,2313,42,34,12,14,8,-2,"1"
2003,10307,2314,34,34,20,18,0,2,"1"
2004,10307,2315,32,22,16,5,10,11,"1"
2005,10307,2331,41,37,20,9,4,11,"1"
2006,10307,2338,54,43,17,10,11,7,"1"
2007,10307,2355,55,36,22,10,19,12,"1"
2008,10307,2384,49,68,28,20,-19,8,"1"
2009,10307,2364,64,58,13,10,6,3,"1"
2010,10307,2354,54,59,5,16,-5,-11,"1"
2011,10307,2322,65,52,14,22,13,-8,"1"
2012,10307,2318,41,49,10,18,-8,-8,"1"
2013,10307,2288,67,59,13,9,8,4,"1"
2014,10307,2280,40,47,14,7,-7,7,"1"
2015,10307,2261,65,67,26,6,-2,20,"1"
2016,10307,2272,48,52,13,15,-4,-2,"1"
2017,10307,2251,56,68,26,4,-12,22,"1"
2018,10307,2261,57,59,14,15,-2,-1,"1"
2019,10307,2244,53,85,12,16,-32,-4,"1"
2020,10307,2203,81,56,13,3,25,10,"1"
2021,10307,2228,73,67,6,21,6,-15,"1"
2022,10307,2192,87,91,50,12,-4,38,"1"
2023,10307,2218,78,71,7,6,7,1,"1"
2002,10308,1241,47,37,9,9,10,0,"1"
2003,10308,1253,42,29,10,10,13,0,"1"
2004,10308,1266,44,44,9,3,0,6,"1"
2005,10308,1274,77,43,17,4,34,13,"1"
2006,10308,1317,55,65,5,8,-10,-3,"1"
2007,10308,1309,58,69,12,13,-11,-1,"1"
2008,10308,1291,74,59,13,6,15,7,"1"
2009,10308,1308,76,62,8,5,14,3,"1"
2010,10308,1326,67,41,4,2,26,2,"1"
2011,10308,1354,53,74,0,4,-21,-4,"1"
2012,10308,1327,76,55,11,3,21,8,"1"
2013,10308,1353,45,48,6,2,-3,4,"1"
2014,10308,1353,52,38,6,6,14,0,"1"
2015,10308,1375,79,61,4,6,18,-2,"1"
2016,10308,1388,52,36,3,3,16,0,"1"
2017,10308,1404,77,68,4,13,9,-9,"1"
2018,10308,1397,73,79,6,7,-6,-1,"1"
2019,10308,1394,66,68,0,1,-2,-1,"1"
2020,10308,1383,60,49,4,9,11,-5,"1"
2021,10308,1384,73,63,8,1,10,7,"1"
2022,10308,1400,110,67,28,3,43,25,"1"
2023,10308,1469,64,69,9,4,-5,5,"1"
2002,10309,2965,112,105,15,13,7,2,"1"
2003,10309,2965,150,137,13,9,13,4,"1"
2004,10309,2988,155,121,25,6,34,19,"1"
2005,10309,3035,179,148,14,18,31,-4,"1"
2006,10309,3077,172,171,17,10,1,7,"1"
2007,10309,3065,187,127,25,11,60,14,"1"
2008,10309,3145,165,143,25,26,22,-1,"1"
2009,10309,3159,153,144,13,14,9,-1,"1"
2010,10309,3155,145,172,13,15,-27,-2,"1"
2011,10309,3107,199,128,16,16,71,0,"1"
2012,10309,3185,134,139,12,8,-5,4,"1"
2013,10309,3180,175,159,23,9,16,14,"1"
2014,10309,3196,210,145,27,17,65,10,"1"
2015,10309,3253,173,196,20,8,-23,12,"1"
2016,10309,3234,274,165,25,17,109,8,"1"
2017,10309,3339,265,177,24,34,88,-10,"1"
2018,10309,3418,213,180,16,14,33,2,"1"
2019,10309,3451,225,168,25,28,57,-3,"1"
2020,10309,3486,262,168,26,7,94,19,"1"
2021,10309,3587,223,179,23,9,44,14,"1"
2022,10309,3640,138,160,53,24,-22,29,"1"
2023,10309,3642,191,198,24,16,-7,8,"1"
2002,10310,1789,31,44,2,1,-13,1,"1"
2003,10310,1766,60,29,11,5,31,6,"1"
2004,10310,1804,39,32,9,1,7,8,"1"
2005,10310,1818,36,37,7,7,-1,0,"1"
2006,10310,1812,51,48,4,3,3,1,"1"
2007,10310,1805,26,35,7,0,-9,7,"1"
2008,10310,1806,46,49,2,2,-3,0,"1"
2009,10310,1798,42,50,7,4,-8,3,"1"
2010,10310,1793,48,45,7,6,3,1,"1"
2011,10310,1805,37,46,14,3,-9,11,"1"
2012,10310,1809,41,51,3,4,-10,-1,"1"
2013,10310,1791,25,39,2,3,-14,-1,"1"
2014,10310,1785,42,57,3,2,-15,1,"1"
2015,10310,1762,41,35,10,2,6,8,"1"
2016,10310,1766,33,29,6,2,4,4,"1"
2017,10310,1779,35,67,7,5,-32,2,"1"
2018,10310,1739,56,42,4,2,14,2,"1"
2019,10310,1748,50,40,3,8,10,-5,"1"
2020,10310,1753,51,51,3,0,0,3,"1"
2021,10310,1738,47,45,0,3,2,-3,"1"
2022,10310,1741,31,42,4,9,-11,-5,"1"
2023,10310,1710,37,44,11,3,-7,8,"1"
2002,10311,1318,20,30,10,6,-10,4,"1"
2003,10311,1315,33,52,7,7,-19,0,"1"
2004,10311,1291,34,25,14,7,9,7,"1"
2005,10311,1296,46,30,10,6,16,4,"1"
2006,10311,1313,30,53,11,15,-23,-4,"1"
2007,10311,1290,39,41,9,4,-2,5,"1"
2008,10311,1298,36,28,7,2,8,5,"1"
2009,10311,1314,54,46,1,1,8,0,"1"
2010,10311,1319,53,44,1,8,9,-7,"1"
2011,10311,1316,27,53,5,8,-26,-3,"1"
2012,10311,1278,33,33,3,7,0,-4,"1"
2013,10311,1274,50,45,4,5,5,-1,"1"
2014,10311,1279,38,45,8,4,-7,4,"1"
2015,10311,1265,32,41,9,3,-9,6,"1"
2016,10311,1250,49,40,5,4,9,1,"1"
2017,10311,1252,36,38,10,7,-2,3,"1"
2018,10311,1243,53,22,4,10,31,-6,"1"
2019,10311,1262,42,45,8,2,-3,6,"1"
2020,10311,1255,75,56,3,4,19,-1,"1"
2021,10311,1271,52,31,4,3,21,1,"1"
2022,10311,1291,56,33,10,7,23,3,"1"
2023,10311,1312,48,68,7,11,-20,-4,"1"
2002,10312,2568,61,61,19,25,0,-6,"1"
2003,10312,2567,67,48,10,19,19,-9,"1"
2004,10312,2588,64,43,23,8,21,15,"1"
2005,10312,2620,61,50,14,5,11,9,"1"
2006,10312,2637,89,46,8,12,43,-4,"1"
2007,10312,2666,79,58,9,16,21,-7,"1"
2008,10312,2669,81,51,18,6,30,12,"1"
2009,10312,2715,75,64,27,7,11,20,"1"
2010,10312,2732,84,77,16,18,7,-2,"1"
2011,10312,2727,76,80,10,12,-4,-2,"1"
2012,10312,2701,95,66,19,11,29,8,"1"
2013,10312,2718,121,73,14,16,48,-2,"1"
2014,10312,2758,82,70,17,20,12,-3,"1"
2015,10312,2754,148,71,32,11,77,21,"1"
2016,10312,2835,123,87,30,15,36,15,"1"
2017,10312,2877,120,95,19,17,25,2,"1"
2018,10312,2901,119,92,17,16,27,1,"1"
2019,10312,2912,79,96,16,8,-17,8,"1"
2020,10312,2885,115,82,13,13,33,0,"1"
2021,10312,2899,129,102,23,14,27,9,"1"
2022,10312,2925,129,87,57,30,42,27,"1"
2023,10312,2984,173,109,17,35,64,-18,"1"
2002,10313,2777,64,65,13,28,-1,-15,"1"
2003,10313,2767,67,74,20,7,-7,13,"1"
2004,10313,2770,87,78,15,3,9,12,"1"
2005,10313,2779,87,72,10,9,15,1,"1"
2006,10313,2785,108,95,8,17,13,-9,"1"
2007,10313,2781,74,91,16,9,-17,7,"1"
2008,10313,2749,106,95,15,23,11,-8,"1"
2009,10313,2735,77,67,11,11,10,0,"1"
2010,10313,2736,88,83,14,12,5,2,"1"
2011,10313,2729,68,62,8,9,6,-1,"1"
2012,10313,2710,86,79,7,6,7,1,"1"
2013,10313,2710,79,65,10,9,14,1,"1"
2014,10313,2708,63,72,9,5,-9,4,"1"
2015,10313,2682,56,62,7,3,-6,4,"1"
2016,10313,2661,78,56,10,5,22,5,"1"
2017,10313,2661,67,82,14,8,-15,6,"1"
2018,10313,2636,84,75,21,6,9,15,"1"
2019,10313,2650,98,61,5,6,37,-1,"1"
2020,10313,2669,92,77,8,2,15,6,"1"
2021,10313,2683,90,79,7,5,11,2,"1"
2022,10313,2691,113,81,35,13,32,22,"1"
2023,10313,2734,81,85,10,11,-4,-1,"1"
2002,10314,1377,39,35,14,6,4,8,"1"
2003,10314,1385,26,25,5,9,1,-4,"1"
2004,10314,1376,66,42,10,2,24,8,"1"
2005,10314,1406,37,41,1,5,-4,-4,"1"
2006,10314,1397,28,36,7,2,-8,5,"1"
2007,10314,1382,47,49,5,3,-2,2,"1"
2008,10314,1389,54,39,12,9,15,3,"1"
2009,10314,1405,50,44,6,8,6,-2,"1"
2010,10314,1411,63,61,14,3,2,11,"1"
2011,10314,1425,33,57,10,10,-24,0,"1"
2012,10314,1397,69,51,9,5,18,4,"1"
2013,10314,1419,45,64,6,6,-19,0,"1"
2014,10314,1389,49,60,9,2,-11,7,"1"
2015,10314,1383,43,36,19,5,7,14,"1"
2016,10314,1396,46,64,10,13,-18,-3,"1"
2017,10314,1375,55,40,10,6,15,4,"1"
2018,10314,1392,44,67,7,7,-23,0,"1"
2019,10314,1365,111,60,9,9,51,0,"1"
2020,10314,1421,67,57,11,11,10,0,"1"
2021,10314,1417,51,32,7,6,19,1,"1"
2022,10314,1436,71,74,32,12,-3,20,"1"
2023,10314,1442,84,75,15,18,9,-3,"1"
2002,10315,2706,79,86,26,14,-7,12,"1"
2003,10315,2701,104,98,27,9,6,18,"1"
2004,10315,2711,111,122,35,17,-11,18,"1"
2005,10315,2705,126,103,29,20,23,9,"1"
2006,10315,2728,123,102,29,12,21,17,"1"
2007,10315,2744,134,94,33,24,40,9,"1"
2008,10315,2796,130,125,27,22,5,5,"1"
2009,10315,2805,149,99,51,29,50,22,"1"
2010,10315,2884,147,132,39,21,15,18,"1"
2011,10315,2898,194,127,33,39,67,-6,"1"
2012,10315,2951,117,126,33,16,-9,17,"1"
2013,10315,2937,149,123,31,21,26,10,"1"
2014,10315,2949,132,121,60,30,11,30,"1"
2015,10315,2974,115,115,28,35,0,-7,"1"
2016,10315,2950,136,145,20,29,-9,-9,"1"
2017,10315,2919,151,98,26,18,53,8,"1"
2018,10315,2963,202,143,36,22,59,14,"1"
2019,10315,3027,160,121,32,20,39,12,"1"
2020,10315,3066,167,115,21,15,52,6,"1"
2021,10315,3118,166,108,46,18,58,28,"1"
2022,10315,3203,164,105,46,40,59,6,"1"
2023,10315,3248,127,120,21,19,7,2,"1"
2002,10316,1883,95,79,10,10,16,0,"1"
2003,10316,1904,92,63,10,3,29,7,"1"
2004,10316,1935,96,65,17,5,31,12,"1"
2005,10316,1970,159,63,16,9,96,7,"1"
2006,10316,2065,120,72,27,11,48,16,"1"
2007,10316,2120,144,88,12,5,56,7,"1"
2008,10316,2184,135,64,19,8,71,11,"1"
2009,10316,2260,126,82,13,13,44,0,"1"
2010,10316,2302,123,95,14,18,28,-4,"1"
2011,10316,2321,138,82,13,12,56,1,"1"
2012,10316,2372,169,105,31,12,64,19,"1"
2013,10316,2464,136,107,11,11,29,0,"1"
2014,10316,2486,127,124,23,8,3,15,"1"
2015,10316,2498,194,114,25,13,80,12,"1"
2016,10316,2597,121,120,18,29,1,-11,"1"
2017,10316,2578,179,129,9,12,50,-3,"1"
2018,10316,2614,178,129,19,9,49,10,"1"
2019,10316,2671,204,97,18,12,107,6,"1"
2020,10316,2776,246,100,15,10,146,5,"1"
2021,10316,2932,149,104,23,6,45,17,"1"
2022,10316,2992,197,129,41,24,68,17,"1"
2023,10316,3069,180,175,11,43,5,-32,"1"
2002,10317,1740,88,85,30,14,3,16,"1"
2003,10317,1760,85,90,35,10,-5,25,"1"
2004,10317,1775,71,80,15,5,-9,10,"1"
2005,10317,1776,58,47,9,6,11,3,"1"
2006,10317,1779,80,40,10,4,40,6,"1"
2007,10317,1829,84,47,15,7,37,8,"1"
2008,10317,1870,82,82,10,10,0,0,"1"
2009,10317,1871,51,61,10,16,-10,-6,"1"
2010,10317,1855,87,66,11,9,21,2,"1"
2011,10317,1881,113,68,4,13,45,-9,"1"
2012,10317,1905,70,53,14,6,17,8,"1"
2013,10317,1928,89,58,18,2,31,16,"1"
2014,10317,1969,88,62,22,18,26,4,"1"
2015,10317,1999,90,62,18,4,28,14,"1"
2016,10317,2036,96,99,11,4,-3,7,"1"
2017,10317,2036,95,71,12,10,24,2,"1"
2018,10317,2064,89,66,19,12,23,7,"1"
2019,10317,2091,56,83,12,5,-27,7,"1"
2020,10317,2063,83,78,9,6,5,3,"1"
2021,10317,2067,84,72,7,4,12,3,"1"
2022,10317,2083,155,81,16,12,74,4,"1"
2023,10317,2139,113,106,18,2,7,16,"1"
2002,10318,1111,67,53,16,2,14,14,"1"
2003,10318,1145,47,65,6,2,-18,4,"1"
2004,10318,1126,42,51,9,3,-9,6,"1"
2005,10318,1116,62,53,16,6,9,10,"1"
2006,10318,1136,47,38,6,7,9,-1,"1"
2007,10318,1149,63,50,5,8,13,-3,"1"
2008,10318,1166,83,56,13,6,27,7,"1"
2009,10318,1200,59,72,20,8,-13,12,"1"
2010,10318,1199,70,40,9,9,30,0,"1"
2011,10318,1238,83,51,6,8,32,-2,"1"
2012,10318,1267,100,45,10,9,55,1,"1"
2013,10318,1329,100,58,11,2,42,9,"1"
2014,10318,1382,69,61,16,6,8,10,"1"
2015,10318,1412,97,73,18,10,24,8,"1"
2016,10318,1451,125,100,12,11,25,1,"1"
2017,10318,1488,137,81,15,15,56,0,"1"
2018,10318,1549,109,77,11,9,32,2,"1"
2019,10318,1594,146,87,13,9,59,4,"1"
2020,10318,1664,100,77,14,13,23,1,"1"
2021,10318,1702,87,84,10,9,3,1,"1"
2022,10318,1717,83,87,24,8,-4,16,"1"
2023,10318,1734,71,75,19,8,-4,11,"1"
2002,10319,1888,73,62,11,8,11,3,"1"
2003,10319,1896,58,56,7,7,2,0,"1"
2004,10319,1886,57,64,9,5,-7,4,"1"
2005,10319,1879,40,47,5,6,-7,-1,"1"
2006,10319,1869,47,47,5,1,0,4,"1"
2007,10319,1866,64,58,4,8,6,-4,"1"
2008,10319,1854,57,52,11,11,5,0,"1"
2009,10319,1851,55,64,13,8,-9,5,"1"
2010,10319,1853,68,46,12,6,22,6,"1"
2011,10319,1882,67,68,15,8,-1,7,"1"
2012,10319,1885,59,55,12,7,4,5,"1"
2013,10319,1892,68,60,13,3,8,10,"1"
2014,10319,1906,55,64,17,11,-9,6,"1"
2015,10319,1895,73,65,16,6,8,10,"1"
2016,10319,1920,91,73,6,6,18,0,"1"
2017,10319,1944,58,64,12,12,-6,0,"1"
2018,10319,1944,93,78,21,14,15,7,"1"
2019,10319,1966,64,65,23,8,-1,15,"1"
2020,10319,1980,71,83,21,8,-12,13,"1"
2021,10319,1982,74,97,24,4,-23,20,"1"
2022,10319,1974,54,93,32,9,-39,23,"1"
2023,10319,1952,93,89,13,18,4,-5,"1"
2002,10320,363,14,9,3,2,5,1,"1"
2003,10320,371,12,15,0,1,-3,-1,"1"
2004,10320,368,21,5,0,0,16,0,"1"
2005,10320,382,25,10,1,1,15,0,"1"
2006,10320,400,13,17,2,1,-4,1,"1"
2007,10320,394,20,6,2,1,14,1,"1"
2008,10320,409,26,7,2,0,19,2,"1"
2009,10320,435,21,11,1,1,10,0,"1"
2010,10320,445,19,10,1,0,9,1,"1"
2011,10320,458,18,12,1,1,6,0,"1"
2012,10320,463,9,14,6,0,-5,6,"1"
2013,10320,461,25,17,1,5,8,-4,"1"
2014,10320,462,28,18,0,4,10,-4,"1"
2015,10320,467,20,18,1,1,2,0,"1"
2016,10320,466,18,21,0,1,-3,-1,"1"
2017,10320,457,31,13,2,0,18,2,"1"
2018,10320,475,16,21,1,0,-5,1,"1"
2019,10320,475,20,12,2,2,8,0,"1"
2020,10320,483,14,14,1,2,0,-1,"1"
2021,10320,476,33,8,1,0,25,1,"1"
2022,10320,501,31,16,6,5,15,1,"1"
2023,10320,516,29,21,1,3,8,-2,"1"
2002,10321,774,20,18,3,5,2,-2,"1"
2003,10321,779,22,16,6,3,6,3,"1"
2004,10321,789,32,12,3,4,20,-1,"1"
2005,10321,809,15,32,5,2,-17,3,"1"
2006,10321,800,29,26,3,3,3,0,"1"
2007,10321,805,33,27,5,3,6,2,"1"
2008,10321,816,21,23,5,5,-2,0,"1"
2009,10321,817,25,35,11,8,-10,3,"1"
2010,10321,806,27,25,1,5,2,-4,"1"
2011,10321,802,16,20,5,2,-4,3,"1"
2012,10321,805,30,33,4,5,-3,-1,"1"
2013,10321,800,31,25,6,3,6,3,"1"
2014,10321,812,34,18,13,8,16,5,"1"
2015,10321,836,18,26,7,2,-8,5,"1"
2016,10321,838,30,23,3,14,7,-11,"1"
2017,10321,833,21,29,11,2,-8,9,"1"
2018,10321,840,25,37,6,0,-12,6,"1"
2019,10321,834,20,46,12,5,-26,7,"1"
2020,10321,810,33,29,4,1,4,3,"1"
2021,10321,823,21,26,5,1,-5,4,"1"
2022,10321,825,22,25,4,0,-3,4,"1"
2023,10321,832,22,23,3,6,-1,-3,"1"
2002,10322,856,54,31,4,3,23,1,"1"
2003,10322,877,40,17,1,2,23,-1,"1"
2004,10322,893,24,29,3,0,-5,3,"1"
2005,10322,892,31,48,12,1,-17,11,"1"
2006,10322,886,54,44,3,2,10,1,"1"
2007,10322,896,42,60,8,0,-18,8,"1"
2008,10322,886,40,40,6,5,0,1,"1"
2009,10322,893,63,31,1,3,32,-2,"1"
2010,10322,925,35,44,4,2,-9,2,"1"
2011,10322,919,58,46,3,8,12,-5,"1"
2012,10322,929,42,39,3,3,3,0,"1"
2013,10322,926,43,36,5,4,7,1,"1"
2014,10322,925,60,54,4,3,6,1,"1"
2015,10322,928,46,57,11,3,-11,8,"1"
2016,10322,925,28,36,7,5,-8,2,"1"
2017,10322,918,81,62,7,8,19,-1,"1"
2018,10322,933,72,65,9,1,7,8,"1"
2019,10322,939,68,47,3,3,21,0,"1"
2020,10322,961,61,40,4,4,21,0,"1"
2021,10322,991,57,62,6,3,-5,3,"1"
2022,10322,990,62,57,10,3,5,7,"1"
2023,10322,1005,76,55,5,18,21,-13,"1"
2002,10323,916,41,31,2,1,10,1,"1"
2003,10323,910,45,17,4,4,28,0,"1"
2004,10323,907,50,20,3,3,30,0,"1"
2005,10323,931,73,26,10,6,47,4,"1"
2006,10323,963,30,32,10,6,-2,4,"1"
2007,10323,959,32,28,7,2,4,5,"1"
2008,10323,956,76,64,7,3,12,4,"1"
2009,10323,960,47,50,6,2,-3,4,"1"
2010,10323,954,59,44,6,4,15,2,"1"
2011,10323,967,51,30,9,3,21,6,"1"
2012,10323,992,51,46,4,9,5,-5,"1"
2013,10323,988,45,36,10,4,9,6,"1"
2014,10323,998,35,27,3,1,8,2,"1"
2015,10323,999,58,51,6,0,7,6,"1"
2016,10323,1008,49,34,6,4,15,2,"1"
2017,10323,1017,56,36,3,6,20,-3,"1"
2018,10323,1027,60,35,5,1,25,4,"1"
2019,10323,1050,80,50,10,4,30,6,"1"
2020,10323,1076,71,31,4,4,40,0,"1"
2021,10323,1101,62,43,12,11,19,1,"1"
2022,10323,1114,62,28,13,5,34,8,"1"
