C-A10-0;C-C11-0;C-GRGEMAKT-0;C-GALTEJ112-0;F-ISIS-1
A10-2012;C11-1;GRGEMAKT-10101;GALTEJ112-1;68
A10-2012;C11-1;GRGEMAKT-10101;GALTEJ112-2;71
A10-2012;C11-1;GRGEMAKT-10101;GALTEJ112-3;52
A10-2012;C11-1;GRGEMAKT-10101;GALTEJ112-4;70
A10-2012;C11-1;GRGEMAKT-10101;GALTEJ112-5;60
A10-2012;C11-1;GRGEMAKT-10101;GALTEJ112-6;53
A10-2012;C11-1;GRGEMAKT-10101;GALTEJ112-7;58
A10-2012;C11-1;GRGEMAKT-10101;GALTEJ112-8;61
A10-2012;C11-1;GRGEMAKT-10101;GALTEJ112-9;67
A10-2012;C11-1;GRGEMAKT-10101;GALTEJ112-10;79
A10-2012;C11-1;GRGEMAKT-10101;GALTEJ112-11;62
A10-2012;C11-1;GRGEMAKT-10101;GALTEJ112-12;57
A10-2012;C11-1;GRGEMAKT-10101;GALTEJ112-13;56
A10-2012;C11-1;GRGEMAKT-10101;GALTEJ112-14;73
A10-2012;C11-1;GRGEMAKT-10101;GALTEJ112-15;66
A10-2012;C11-1;GRGEMAKT-10101;GALTEJ112-16;64
A10-2012;C11-1;GRGEMAKT-10101;GALTEJ112-17;54
A10-2012;C11-1;GRGEMAKT-10101;GALTEJ112-18;58
A10-2012;C11-1;GRGEMAKT-10101;GALTEJ112-19;89
A10-2012;C11-1;GRGEMAKT-10101;GALTEJ112-20;65
A10-2012;C11-1;GRGEMAKT-10101;GALTEJ112-21;95
A10-2012;C11-1;GRGEMAKT-10101;GALTEJ112-22;74
A10-2012;C11-1;GRGEMAKT-10101;GALTEJ112-23;77
A10-2012;C11-1;GRGEMAKT-10101;GALTEJ112-24;84
A10-2012;C11-1;GRGEMAKT-10101;GALTEJ112-25;82
A10-2012;C11-1;GRGEMAKT-10101;GALTEJ112-26;77
A10-2012;C11-1;GRGEMAKT-10101;GALTEJ112-27;99
A10-2012;C11-1;GRGEMAKT-10101;GALTEJ112-28;92
A10-2012;C11-1;GRGEMAKT-10101;GALTEJ112-29;101
A10-2012;C11-1;GRGEMAKT-10101;GALTEJ112-30;88
A10-2012;C11-1;GRGEMAKT-10101;GALTEJ112-31;92
A10-2012;C11-1;GRGEMAKT-10101;GALTEJ112-32;92
A10-2012;C11-1;GRGEMAKT-10101;GALTEJ112-33;82
A10-2012;C11-1;GRGEMAKT-10101;GALTEJ112-34;79
A10-2012;C11-1;GRGEMAKT-10101;GALTEJ112-35;82
A10-2012;C11-1;GRGEMAKT-10101;GALTEJ112-36;79
A10-2012;C11-1;GRGEMAKT-10101;GALTEJ112-37;77
A10-2012;C11-1;GRGEMAKT-10101;GALTEJ112-38;89
A10-2012;C11-1;GRGEMAKT-10101;GALTEJ112-39;78
A10-2012;C11-1;GRGEMAKT-10101;GALTEJ112-40;101
A10-2012;C11-1;GRGEMAKT-10101;GALTEJ112-41;110
A10-2012;C11-1;GRGEMAKT-10101;GALTEJ112-42;87
A10-2012;C11-1;GRGEMAKT-10101;GALTEJ112-43;102
A10-2012;C11-1;GRGEMAKT-10101;GALTEJ112-44;107
A10-2012;C11-1;GRGEMAKT-10101;GALTEJ112-45;112
A10-2012;C11-1;GRGEMAKT-10101;GALTEJ112-46;108
A10-2012;C11-1;GRGEMAKT-10101;GALTEJ112-47;109
A10-2012;C11-1;GRGEMAKT-10101;GALTEJ112-48;84
A10-2012;C11-1;GRGEMAKT-10101;GALTEJ112-49;102
A10-2012;C11-1;GRGEMAKT-10101;GALTEJ112-50;96
A10-2012;C11-1;GRGEMAKT-10101;GALTEJ112-51;87
A10-2012;C11-1;GRGEMAKT-10101;GALTEJ112-52;106
A10-2012;C11-1;GRGEMAKT-10101;GALTEJ112-53;109
A10-2012;C11-1;GRGEMAKT-10101;GALTEJ112-54;88
A10-2012;C11-1;GRGEMAKT-10101;GALTEJ112-55;90
A10-2012;C11-1;GRGEMAKT-10101;GALTEJ112-56;96
A10-2012;C11-1;GRGEMAKT-10101;GALTEJ112-57;93
A10-2012;C11-1;GRGEMAKT-10101;GALTEJ112-58;79
A10-2012;C11-1;GRGEMAKT-10101;GALTEJ112-59;90
A10-2012;C11-1;GRGEMAKT-10101;GALTEJ112-60;86
A10-2012;C11-1;GRGEMAKT-10101;GALTEJ112-61;82
A10-2012;C11-1;GRGEMAKT-10101;GALTEJ112-62;59
