C-A10-0;C-C11-0;C-GRGEMAKT-0;C-GALTEJ112-0;F-ISIS-1
A10-2002;C11-1;GRGEMAKT-10101;GALTEJ112-1;53
A10-2002;C11-1;GRGEMAKT-10101;GALTEJ112-2;53
A10-2002;C11-1;GRGEMAKT-10101;GALTEJ112-3;53
A10-2002;C11-1;GRGEMAKT-10101;GALTEJ112-4;67
A10-2002;C11-1;GRGEMAKT-10101;GALTEJ112-5;56
A10-2002;C11-1;GRGEMAKT-10101;GALTEJ112-6;60
A10-2002;C11-1;GRGEMAKT-10101;GALTEJ112-7;45
A10-2002;C11-1;GRGEMAKT-10101;GALTEJ112-8;49
A10-2002;C11-1;GRGEMAKT-10101;GALTEJ112-9;72
A10-2002;C11-1;GRGEMAKT-10101;GALTEJ112-10;63
A10-2002;C11-1;GRGEMAKT-10101;GALTEJ112-11;88
A10-2002;C11-1;GRGEMAKT-10101;GALTEJ112-12;54
A10-2002;C11-1;GRGEMAKT-10101;GALTEJ112-13;62
A10-2002;C11-1;GRGEMAKT-10101;GALTEJ112-14;74
A10-2002;C11-1;GRGEMAKT-10101;GALTEJ112-15;58
A10-2002;C11-1;GRGEMAKT-10101;GALTEJ112-16;55
A10-2002;C11-1;GRGEMAKT-10101;GALTEJ112-17;83
A10-2002;C11-1;GRGEMAKT-10101;GALTEJ112-18;78
A10-2002;C11-1;GRGEMAKT-10101;GALTEJ112-19;74
A10-2002;C11-1;GRGEMAKT-10101;GALTEJ112-20;61
A10-2002;C11-1;GRGEMAKT-10101;GALTEJ112-21;72
A10-2002;C11-1;GRGEMAKT-10101;GALTEJ112-22;69
A10-2002;C11-1;GRGEMAKT-10101;GALTEJ112-23;73
A10-2002;C11-1;GRGEMAKT-10101;GALTEJ112-24;65
A10-2002;C11-1;GRGEMAKT-10101;GALTEJ112-25;77
A10-2002;C11-1;GRGEMAKT-10101;GALTEJ112-26;55
A10-2002;C11-1;GRGEMAKT-10101;GALTEJ112-27;73
A10-2002;C11-1;GRGEMAKT-10101;GALTEJ112-28;73
A10-2002;C11-1;GRGEMAKT-10101;GALTEJ112-29;65
A10-2002;C11-1;GRGEMAKT-10101;GALTEJ112-30;78
A10-2002;C11-1;GRGEMAKT-10101;GALTEJ112-31;94
A10-2002;C11-1;GRGEMAKT-10101;GALTEJ112-32;77
A10-2002;C11-1;GRGEMAKT-10101;GALTEJ112-33;90
A10-2002;C11-1;GRGEMAKT-10101;GALTEJ112-34;101
A10-2002;C11-1;GRGEMAKT-10101;GALTEJ112-35;96
A10-2002;C11-1;GRGEMAKT-10101;GALTEJ112-36;99
A10-2002;C11-1;GRGEMAKT-10101;GALTEJ112-37;108
A10-2002;C11-1;GRGEMAKT-10101;GALTEJ112-38;86
A10-2002;C11-1;GRGEMAKT-10101;GALTEJ112-39;95
A10-2002;C11-1;GRGEMAKT-10101;GALTEJ112-40;86
A10-2002;C11-1;GRGEMAKT-10101;GALTEJ112-41;82
A10-2002;C11-1;GRGEMAKT-10101;GALTEJ112-42;95
A10-2002;C11-1;GRGEMAKT-10101;GALTEJ112-43;94
A10-2002;C11-1;GRGEMAKT-10101;GALTEJ112-44;87
A10-2002;C11-1;GRGEMAKT-10101;GALTEJ112-45;95
A10-2002;C11-1;GRGEMAKT-10101;GALTEJ112-46;103
A10-2002;C11-1;GRGEMAKT-10101;GALTEJ112-47;82
A10-2002;C11-1;GRGEMAKT-10101;GALTEJ112-48;85
A10-2002;C11-1;GRGEMAKT-10101;GALTEJ112-49;85
A10-2002;C11-1;GRGEMAKT-10101;GALTEJ112-50;82
A10-2002;C11-1;GRGEMAKT-10101;GALTEJ112-51;79
A10-2002;C11-1;GRGEMAKT-10101;GALTEJ112-52;65
A10-2002;C11-1;GRGEMAKT-10101;GALTEJ112-53;78
A10-2002;C11-1;GRGEMAKT-10101;GALTEJ112-54;73
A10-2002;C11-1;GRGEMAKT-10101;GALTEJ112-55;75
A10-2002;C11-1;GRGEMAKT-10101;GALTEJ112-56;55
A10-2002;C11-1;GRGEMAKT-10101;GALTEJ112-57;33
A10-2002;C11-1;GRGEMAKT-10101;GALTEJ112-58;53
A10-2002;C11-1;GRGEMAKT-10101;GALTEJ112-59;57
A10-2002;C11-1;GRGEMAKT-10101;GALTEJ112-60;64
A10-2002;C11-1;GRGEMAKT-10101;GALTEJ112-61;66
A10-2002;C11-1;GRGEMAKT-10101;GALTEJ112-62;80
A10-2002;C11-1;GRGEMAKT-10101;GALTEJ112-63;88
A10-2002;C11-1;GRGEMAKT-10101;GALTEJ112-64;44
A10-2002;C11-1;GRGEMAKT-10101;GALTEJ112-65;43
A10-2002;C11-1;GRGEMAKT-10101;GALTEJ112-66;45
A10-2002;C11-1;GRGEMAKT-10101;GALTEJ112-67;46
A10-2002;C11-1;GRGEMAKT-10101;GALTEJ112-68;53
A10-2002;C11-1;GRGEMAKT-10101;GALTEJ112-69;48
A10-2002;C11-1;GRGEMAKT-10101;GALTEJ112-70;44
A10-2002;C11-1;GRGEMAKT-10101;GALTEJ112-71;43
A10-2002;C11-1;GRGEMAKT-10101;GALTEJ112-72;40
A10-2002;C11-1;GRGEMAKT-10101;GALTEJ112-73;39
A10-2002;C11-1;GRGEMAKT-10101;GALTEJ112-74;53
A10-2002;C11-1;GRGEMAKT-10101;GALTEJ112-75;37
A10-2002;C11-1;GRGEMAKT-10101;GALTEJ112-76;39
A10-2002;C11-1;GRGEMAKT-10101;GALTEJ112-77;37
A10-2002;C11-1;GRGEMAKT-10101;GALTEJ112-78;30
A10-2002;C11-1;GRGEMAKT-10101;GALTEJ112-79;31
A10-2002;C11-1;GRGEMAKT-10101;GALTEJ112-80;22
A10-2002;C11-1;GRGEMAKT-10101;GALTEJ112-81;33
A10-2002;C11-1;GRGEMAKT-10101;GALTEJ112-82;31
A10-2002;C11-1;GRGEMAKT-10101;GALTEJ112-83;24
A10-2002;C11-1;GRGEMAKT-10101;GALTEJ112-84;18
A10-2002;C11-1;GRGEMAKT-10101;GALTEJ112-85;6
A10-2002;C11-1;GRGEMAKT-10101;GALTEJ112-86;6
A10-2002;C11-1;GRGEMAKT-10101;GALTEJ112-87;6
A10-2002;C11-1;GRGEMAKT-10101;GALTEJ112-88;17
A10-2002;C11-1;GRGEMAKT-10101;GALTEJ112-89;9
A10-2002;C11-1;GRGEMAKT-10101;GALTEJ112-90;8
A10-2002;C11-1;GRGEMAKT-10101;GALTEJ112-91;9
A10-2002;C11-1;GRGEMAKT-10101;GALTEJ112-92;4
A10-2002;C11-1;GRGEMAKT-10101;GALTEJ112-93;3
A10-2002;C11-1;GRGEMAKT-10101;GALTEJ112-94;3
A10-2002;C11-1;GRGEMAKT-10101;GALTEJ112-95;1
A10-2002;C11-1;GRGEMAKT-10101;GALTEJ112-96;1
A10-2002;C11-1;GRGEMAKT-10101;GALTEJ112-99;2
A10-2002;C11-1;GRGEMAKT-10201;GALTEJ112-1;14
A10-2002;C11-1;GRGEMAKT-10201;GALTEJ112-2;9
A10-2002;C11-1;GRGEMAKT-10201;GALTEJ112-3;7
A10-2002;C11-1;GRGEMAKT-10201;GALTEJ112-4;10
A10-2002;C11-1;GRGEMAKT-10201;GALTEJ112-5;9
A10-2002;C11-1;GRGEMAKT-10201;GALTEJ112-6;4
A10-2002;C11-1;GRGEMAKT-10201;GALTEJ112-7;5
A10-2002;C11-1;GRGEMAKT-10201;GALTEJ112-8;5
A10-2002;C11-1;GRGEMAKT-10201;GALTEJ112-9;6
A10-2002;C11-1;GRGEMAKT-10201;GALTEJ112-10;7
A10-2002;C11-1;GRGEMAKT-10201;GALTEJ112-11;7
A10-2002;C11-1;GRGEMAKT-10201;GALTEJ112-12;6
A10-2002;C11-1;GRGEMAKT-10201;GALTEJ112-13;12
A10-2002;C11-1;GRGEMAKT-10201;GALTEJ112-14;7
A10-2002;C11-1;GRGEMAKT-10201;GALTEJ112-15;16
A10-2002;C11-1;GRGEMAKT-10201;GALTEJ112-16;8
A10-2002;C11-1;GRGEMAKT-10201;GALTEJ112-17;8
A10-2002;C11-1;GRGEMAKT-10201;GALTEJ112-18;5
A10-2002;C11-1;GRGEMAKT-10201;GALTEJ112-19;11
A10-2002;C11-1;GRGEMAKT-10201;GALTEJ112-20;11
A10-2002;C11-1;GRGEMAKT-10201;GALTEJ112-21;10
A10-2002;C11-1;GRGEMAKT-10201;GALTEJ112-22;21
A10-2002;C11-1;GRGEMAKT-10201;GALTEJ112-23;7
A10-2002;C11-1;GRGEMAKT-10201;GALTEJ112-24;7
A10-2002;C11-1;GRGEMAKT-10201;GALTEJ112-25;10
A10-2002;C11-1;GRGEMAKT-10201;GALTEJ112-26;13
A10-2002;C11-1;GRGEMAKT-10201;GALTEJ112-27;11
A10-2002;C11-1;GRGEMAKT-10201;GALTEJ112-28;12
A10-2002;C11-1;GRGEMAKT-10201;GALTEJ112-29;16
A10-2002;C11-1;GRGEMAKT-10201;GALTEJ112-30;15
A10-2002;C11-1;GRGEMAKT-10201;GALTEJ112-31;17
A10-2002;C11-1;GRGEMAKT-10201;GALTEJ112-32;12
A10-2002;C11-1;GRGEMAKT-10201;GALTEJ112-33;14
A10-2002;C11-1;GRGEMAKT-10201;GALTEJ112-34;9
A10-2002;C11-1;GRGEMAKT-10201;GALTEJ112-35;10
A10-2002;C11-1;GRGEMAKT-10201;GALTEJ112-36;13
A10-2002;C11-1;GRGEMAKT-10201;GALTEJ112-37;9
A10-2002;C11-1;GRGEMAKT-10201;GALTEJ112-38;17
A10-2002;C11-1;GRGEMAKT-10201;GALTEJ112-39;12
A10-2002;C11-1;GRGEMAKT-10201;GALTEJ112-40;15
A10-2002;C11-1;GRGEMAKT-10201;GALTEJ112-41;17
A10-2002;C11-1;GRGEMAKT-10201;GALTEJ112-42;19
A10-2002;C11-1;GRGEMAKT-10201;GALTEJ112-43;9
A10-2002;C11-1;GRGEMAKT-10201;GALTEJ112-44;12
A10-2002;C11-1;GRGEMAKT-10201;GALTEJ112-45;16
A10-2002;C11-1;GRGEMAKT-10201;GALTEJ112-46;11
A10-2002;C11-1;GRGEMAKT-10201;GALTEJ112-47;14
A10-2002;C11-1;GRGEMAKT-10201;GALTEJ112-48;7
A10-2002;C11-1;GRGEMAKT-10201;GALTEJ112-49;9
A10-2002;C11-1;GRGEMAKT-10201;GALTEJ112-50;14
A10-2002;C11-1;GRGEMAKT-10201;GALTEJ112-51;15
A10-2002;C11-1;GRGEMAKT-10201;GALTEJ112-52;13
A10-2002;C11-1;GRGEMAKT-10201;GALTEJ112-53;8
A10-2002;C11-1;GRGEMAKT-10201;GALTEJ112-54;18
A10-2002;C11-1;GRGEMAKT-10201;GALTEJ112-55;13
A10-2002;C11-1;GRGEMAKT-10201;GALTEJ112-56;7
A10-2002;C11-1;GRGEMAKT-10201;GALTEJ112-57;8
A10-2002;C11-1;GRGEMAKT-10201;GALTEJ112-58;9
A10-2002;C11-1;GRGEMAKT-10201;GALTEJ112-59;6
A10-2002;C11-1;GRGEMAKT-10201;GALTEJ112-60;7
A10-2002;C11-1;GRGEMAKT-10201;GALTEJ112-61;11
A10-2002;C11-1;GRGEMAKT-10201;GALTEJ112-62;12
A10-2002;C11-1;GRGEMAKT-10201;GALTEJ112-63;17
A10-2002;C11-1;GRGEMAKT-10201;GALTEJ112-64;12
A10-2002;C11-1;GRGEMAKT-10201;GALTEJ112-65;4
A10-2002;C11-1;GRGEMAKT-10201;GALTEJ112-66;13
A10-2002;C11-1;GRGEMAKT-10201;GALTEJ112-67;11
A10-2002;C11-1;GRGEMAKT-10201;GALTEJ112-68;11
A10-2002;C11-1;GRGEMAKT-10201;GALTEJ112-69;2
A10-2002;C11-1;GRGEMAKT-10201;GALTEJ112-70;8
A10-2002;C11-1;GRGEMAKT-10201;GALTEJ112-71;13
A10-2002;C11-1;GRGEMAKT-10201;GALTEJ112-72;7
A10-2002;C11-1;GRGEMAKT-10201;GALTEJ112-73;10
A10-2002;C11-1;GRGEMAKT-10201;GALTEJ112-74;11
A10-2002;C11-1;GRGEMAKT-10201;GALTEJ112-75;2
A10-2002;C11-1;GRGEMAKT-10201;GALTEJ112-76;7
A10-2002;C11-1;GRGEMAKT-10201;GALTEJ112-77;9
A10-2002;C11-1;GRGEMAKT-10201;GALTEJ112-78;7
A10-2002;C11-1;GRGEMAKT-10201;GALTEJ112-79;3
A10-2002;C11-1;GRGEMAKT-10201;GALTEJ112-80;6
A10-2002;C11-1;GRGEMAKT-10201;GALTEJ112-81;8
A10-2002;C11-1;GRGEMAKT-10201;GALTEJ112-83;1
A10-2002;C11-1;GRGEMAKT-10201;GALTEJ112-84;1
A10-2002;C11-1;GRGEMAKT-10201;GALTEJ112-85;1
A10-2002;C11-1;GRGEMAKT-10201;GALTEJ112-88;1
A10-2002;C11-1;GRGEMAKT-10201;GALTEJ112-89;3
A10-2002;C11-1;GRGEMAKT-10301;GALTEJ112-1;8
A10-2002;C11-1;GRGEMAKT-10301;GALTEJ112-2;13
A10-2002;C11-1;GRGEMAKT-10301;GALTEJ112-3;2
A10-2002;C11-1;GRGEMAKT-10301;GALTEJ112-4;5
A10-2002;C11-1;GRGEMAKT-10301;GALTEJ112-5;11
A10-2002;C11-1;GRGEMAKT-10301;GALTEJ112-6;7
A10-2002;C11-1;GRGEMAKT-10301;GALTEJ112-7;8
A10-2002;C11-1;GRGEMAKT-10301;GALTEJ112-8;10
A10-2002;C11-1;GRGEMAKT-10301;GALTEJ112-9;13
A10-2002;C11-1;GRGEMAKT-10301;GALTEJ112-10;14
A10-2002;C11-1;GRGEMAKT-10301;GALTEJ112-11;4
A10-2002;C11-1;GRGEMAKT-10301;GALTEJ112-12;8
A10-2002;C11-1;GRGEMAKT-10301;GALTEJ112-13;9
A10-2002;C11-1;GRGEMAKT-10301;GALTEJ112-14;7
A10-2002;C11-1;GRGEMAKT-10301;GALTEJ112-15;8
A10-2002;C11-1;GRGEMAKT-10301;GALTEJ112-16;14
A10-2002;C11-1;GRGEMAKT-10301;GALTEJ112-17;10
A10-2002;C11-1;GRGEMAKT-10301;GALTEJ112-18;6
A10-2002;C11-1;GRGEMAKT-10301;GALTEJ112-19;11
A10-2002;C11-1;GRGEMAKT-10301;GALTEJ112-20;6
A10-2002;C11-1;GRGEMAKT-10301;GALTEJ112-21;10
A10-2002;C11-1;GRGEMAKT-10301;GALTEJ112-22;5
A10-2002;C11-1;GRGEMAKT-10301;GALTEJ112-23;14
A10-2002;C11-1;GRGEMAKT-10301;GALTEJ112-24;6
A10-2002;C11-1;GRGEMAKT-10301;GALTEJ112-25;5
A10-2002;C11-1;GRGEMAKT-10301;GALTEJ112-26;6
A10-2002;C11-1;GRGEMAKT-10301;GALTEJ112-27;6
A10-2002;C11-1;GRGEMAKT-10301;GALTEJ112-28;9
A10-2002;C11-1;GRGEMAKT-10301;GALTEJ112-29;8
A10-2002;C11-1;GRGEMAKT-10301;GALTEJ112-30;10
A10-2002;C11-1;GRGEMAKT-10301;GALTEJ112-31;14
A10-2002;C11-1;GRGEMAKT-10301;GALTEJ112-32;14
A10-2002;C11-1;GRGEMAKT-10301;GALTEJ112-33;10
A10-2002;C11-1;GRGEMAKT-10301;GALTEJ112-34;11
A10-2002;C11-1;GRGEMAKT-10301;GALTEJ112-35;15
A10-2002;C11-1;GRGEMAKT-10301;GALTEJ112-36;8
A10-2002;C11-1;GRGEMAKT-10301;GALTEJ112-37;15
A10-2002;C11-1;GRGEMAKT-10301;GALTEJ112-38;14
A10-2002;C11-1;GRGEMAKT-10301;GALTEJ112-39;12
A10-2002;C11-1;GRGEMAKT-10301;GALTEJ112-40;15
A10-2002;C11-1;GRGEMAKT-10301;GALTEJ112-41;15
A10-2002;C11-1;GRGEMAKT-10301;GALTEJ112-42;15
A10-2002;C11-1;GRGEMAKT-10301;GALTEJ112-43;14
A10-2002;C11-1;GRGEMAKT-10301;GALTEJ112-44;18
A10-2002;C11-1;GRGEMAKT-10301;GALTEJ112-45;19
A10-2002;C11-1;GRGEMAKT-10301;GALTEJ112-46;17
A10-2002;C11-1;GRGEMAKT-10301;GALTEJ112-47;20
A10-2002;C11-1;GRGEMAKT-10301;GALTEJ112-48;10
A10-2002;C11-1;GRGEMAKT-10301;GALTEJ112-49;10
A10-2002;C11-1;GRGEMAKT-10301;GALTEJ112-50;12
A10-2002;C11-1;GRGEMAKT-10301;GALTEJ112-51;14
