C-A10-0;C-C11-0;C-GRGEMAKT-0;C-GALTEJ112-0;F-ISIS-1
A10-2002;C11-1;GRGEMAKT-10301;GALTEJ112-52;16
A10-2002;C11-1;GRGEMAKT-10301;GALTEJ112-53;11
A10-2002;C11-1;GRGEMAKT-10301;GALTEJ112-54;14
A10-2002;C11-1;GRGEMAKT-10301;GALTEJ112-55;13
A10-2002;C11-1;GRGEMAKT-10301;GALTEJ112-56;9
A10-2002;C11-1;GRGEMAKT-10301;GALTEJ112-57;9
A10-2002;C11-1;GRGEMAKT-10301;GALTEJ112-58;8
A10-2002;C11-1;GRGEMAKT-10301;GALTEJ112-59;7
A10-2002;C11-1;GRGEMAKT-10301;GALTEJ112-60;19
A10-2002;C11-1;GRGEMAKT-10301;GALTEJ112-61;13
A10-2002;C11-1;GRGEMAKT-10301;GALTEJ112-62;15
A10-2002;C11-1;GRGEMAKT-10301;GALTEJ112-63;19
A10-2002;C11-1;GRGEMAKT-10301;GALTEJ112-64;18
A10-2002;C11-1;GRGEMAKT-10301;GALTEJ112-65;13
A10-2002;C11-1;GRGEMAKT-10301;GALTEJ112-66;13
A10-2002;C11-1;GRGEMAKT-10301;GALTEJ112-67;10
A10-2002;C11-1;GRGEMAKT-10301;GALTEJ112-68;10
A10-2002;C11-1;GRGEMAKT-10301;GALTEJ112-69;11
A10-2002;C11-1;GRGEMAKT-10301;GALTEJ112-70;6
A10-2002;C11-1;GRGEMAKT-10301;GALTEJ112-71;5
A10-2002;C11-1;GRGEMAKT-10301;GALTEJ112-72;7
A10-2002;C11-1;GRGEMAKT-10301;GALTEJ112-73;9
A10-2002;C11-1;GRGEMAKT-10301;GALTEJ112-74;10
A10-2002;C11-1;GRGEMAKT-10301;GALTEJ112-75;3
A10-2002;C11-1;GRGEMAKT-10301;GALTEJ112-76;6
A10-2002;C11-1;GRGEMAKT-10301;GALTEJ112-77;5
A10-2002;C11-1;GRGEMAKT-10301;GALTEJ112-78;2
A10-2002;C11-1;GRGEMAKT-10301;GALTEJ112-79;5
A10-2002;C11-1;GRGEMAKT-10301;GALTEJ112-80;3
A10-2002;C11-1;GRGEMAKT-10301;GALTEJ112-81;3
A10-2002;C11-1;GRGEMAKT-10301;GALTEJ112-82;3
A10-2002;C11-1;GRGEMAKT-10301;GALTEJ112-83;2
A10-2002;C11-1;GRGEMAKT-10301;GALTEJ112-86;1
A10-2002;C11-1;GRGEMAKT-10301;GALTEJ112-88;4
A10-2002;C11-1;GRGEMAKT-10301;GALTEJ112-89;1
A10-2002;C11-1;GRGEMAKT-10302;GALTEJ112-1;8
A10-2002;C11-1;GRGEMAKT-10302;GALTEJ112-2;9
A10-2002;C11-1;GRGEMAKT-10302;GALTEJ112-3;4
A10-2002;C11-1;GRGEMAKT-10302;GALTEJ112-4;5
A10-2002;C11-1;GRGEMAKT-10302;GALTEJ112-5;3
A10-2002;C11-1;GRGEMAKT-10302;GALTEJ112-6;7
A10-2002;C11-1;GRGEMAKT-10302;GALTEJ112-7;9
A10-2002;C11-1;GRGEMAKT-10302;GALTEJ112-8;10
A10-2002;C11-1;GRGEMAKT-10302;GALTEJ112-9;8
A10-2002;C11-1;GRGEMAKT-10302;GALTEJ112-10;6
A10-2002;C11-1;GRGEMAKT-10302;GALTEJ112-11;10
A10-2002;C11-1;GRGEMAKT-10302;GALTEJ112-12;15
A10-2002;C11-1;GRGEMAKT-10302;GALTEJ112-13;7
A10-2002;C11-1;GRGEMAKT-10302;GALTEJ112-14;10
A10-2002;C11-1;GRGEMAKT-10302;GALTEJ112-15;9
A10-2002;C11-1;GRGEMAKT-10302;GALTEJ112-16;4
A10-2002;C11-1;GRGEMAKT-10302;GALTEJ112-17;6
A10-2002;C11-1;GRGEMAKT-10302;GALTEJ112-18;6
A10-2002;C11-1;GRGEMAKT-10302;GALTEJ112-19;11
A10-2002;C11-1;GRGEMAKT-10302;GALTEJ112-20;10
A10-2002;C11-1;GRGEMAKT-10302;GALTEJ112-21;6
A10-2002;C11-1;GRGEMAKT-10302;GALTEJ112-22;10
A10-2002;C11-1;GRGEMAKT-10302;GALTEJ112-23;12
A10-2002;C11-1;GRGEMAKT-10302;GALTEJ112-24;15
A10-2002;C11-1;GRGEMAKT-10302;GALTEJ112-25;6
A10-2002;C11-1;GRGEMAKT-10302;GALTEJ112-26;13
A10-2002;C11-1;GRGEMAKT-10302;GALTEJ112-27;14
A10-2002;C11-1;GRGEMAKT-10302;GALTEJ112-28;9
A10-2002;C11-1;GRGEMAKT-10302;GALTEJ112-29;11
A10-2002;C11-1;GRGEMAKT-10302;GALTEJ112-30;7
A10-2002;C11-1;GRGEMAKT-10302;GALTEJ112-31;12
A10-2002;C11-1;GRGEMAKT-10302;GALTEJ112-32;9
A10-2002;C11-1;GRGEMAKT-10302;GALTEJ112-33;10
A10-2002;C11-1;GRGEMAKT-10302;GALTEJ112-34;12
A10-2002;C11-1;GRGEMAKT-10302;GALTEJ112-35;5
A10-2002;C11-1;GRGEMAKT-10302;GALTEJ112-36;17
A10-2002;C11-1;GRGEMAKT-10302;GALTEJ112-37;14
A10-2002;C11-1;GRGEMAKT-10302;GALTEJ112-38;13
A10-2002;C11-1;GRGEMAKT-10302;GALTEJ112-39;12
A10-2002;C11-1;GRGEMAKT-10302;GALTEJ112-40;19
A10-2002;C11-1;GRGEMAKT-10302;GALTEJ112-41;17
A10-2002;C11-1;GRGEMAKT-10302;GALTEJ112-42;16
A10-2002;C11-1;GRGEMAKT-10302;GALTEJ112-43;19
A10-2002;C11-1;GRGEMAKT-10302;GALTEJ112-44;9
A10-2002;C11-1;GRGEMAKT-10302;GALTEJ112-45;8
A10-2002;C11-1;GRGEMAKT-10302;GALTEJ112-46;17
A10-2002;C11-1;GRGEMAKT-10302;GALTEJ112-47;16
A10-2002;C11-1;GRGEMAKT-10302;GALTEJ112-48;11
A10-2002;C11-1;GRGEMAKT-10302;GALTEJ112-49;12
A10-2002;C11-1;GRGEMAKT-10302;GALTEJ112-50;10
A10-2002;C11-1;GRGEMAKT-10302;GALTEJ112-51;18
A10-2002;C11-1;GRGEMAKT-10302;GALTEJ112-52;15
A10-2002;C11-1;GRGEMAKT-10302;GALTEJ112-53;11
A10-2002;C11-1;GRGEMAKT-10302;GALTEJ112-54;11
A10-2002;C11-1;GRGEMAKT-10302;GALTEJ112-55;8
A10-2002;C11-1;GRGEMAKT-10302;GALTEJ112-56;10
A10-2002;C11-1;GRGEMAKT-10302;GALTEJ112-57;8
A10-2002;C11-1;GRGEMAKT-10302;GALTEJ112-58;5
A10-2002;C11-1;GRGEMAKT-10302;GALTEJ112-59;10
A10-2002;C11-1;GRGEMAKT-10302;GALTEJ112-60;13
A10-2002;C11-1;GRGEMAKT-10302;GALTEJ112-61;11
A10-2002;C11-1;GRGEMAKT-10302;GALTEJ112-62;12
A10-2002;C11-1;GRGEMAKT-10302;GALTEJ112-63;15
A10-2002;C11-1;GRGEMAKT-10302;GALTEJ112-64;7
A10-2002;C11-1;GRGEMAKT-10302;GALTEJ112-65;7
A10-2002;C11-1;GRGEMAKT-10302;GALTEJ112-66;4
A10-2002;C11-1;GRGEMAKT-10302;GALTEJ112-67;11
A10-2002;C11-1;GRGEMAKT-10302;GALTEJ112-68;8
A10-2002;C11-1;GRGEMAKT-10302;GALTEJ112-69;12
A10-2002;C11-1;GRGEMAKT-10302;GALTEJ112-70;8
A10-2002;C11-1;GRGEMAKT-10302;GALTEJ112-71;11
A10-2002;C11-1;GRGEMAKT-10302;GALTEJ112-72;7
A10-2002;C11-1;GRGEMAKT-10302;GALTEJ112-73;9
A10-2002;C11-1;GRGEMAKT-10302;GALTEJ112-74;4
A10-2002;C11-1;GRGEMAKT-10302;GALTEJ112-75;5
A10-2002;C11-1;GRGEMAKT-10302;GALTEJ112-76;6
A10-2002;C11-1;GRGEMAKT-10302;GALTEJ112-77;9
A10-2002;C11-1;GRGEMAKT-10302;GALTEJ112-78;7
A10-2002;C11-1;GRGEMAKT-10302;GALTEJ112-79;2
A10-2002;C11-1;GRGEMAKT-10302;GALTEJ112-80;3
A10-2002;C11-1;GRGEMAKT-10302;GALTEJ112-81;6
A10-2002;C11-1;GRGEMAKT-10302;GALTEJ112-82;3
A10-2002;C11-1;GRGEMAKT-10302;GALTEJ112-83;2
A10-2002;C11-1;GRGEMAKT-10302;GALTEJ112-84;2
A10-2002;C11-1;GRGEMAKT-10302;GALTEJ112-85;1
A10-2002;C11-1;GRGEMAKT-10302;GALTEJ112-86;2
A10-2002;C11-1;GRGEMAKT-10302;GALTEJ112-87;2
A10-2002;C11-1;GRGEMAKT-10302;GALTEJ112-88;3
A10-2002;C11-1;GRGEMAKT-10302;GALTEJ112-90;2
A10-2002;C11-1;GRGEMAKT-10303;GALTEJ112-1;3
A10-2002;C11-1;GRGEMAKT-10303;GALTEJ112-2;8
A10-2002;C11-1;GRGEMAKT-10303;GALTEJ112-3;5
A10-2002;C11-1;GRGEMAKT-10303;GALTEJ112-4;6
A10-2002;C11-1;GRGEMAKT-10303;GALTEJ112-5;9
A10-2002;C11-1;GRGEMAKT-10303;GALTEJ112-6;14
A10-2002;C11-1;GRGEMAKT-10303;GALTEJ112-7;7
A10-2002;C11-1;GRGEMAKT-10303;GALTEJ112-8;13
A10-2002;C11-1;GRGEMAKT-10303;GALTEJ112-9;13
A10-2002;C11-1;GRGEMAKT-10303;GALTEJ112-10;7
A10-2002;C11-1;GRGEMAKT-10303;GALTEJ112-11;11
A10-2002;C11-1;GRGEMAKT-10303;GALTEJ112-12;18
A10-2002;C11-1;GRGEMAKT-10303;GALTEJ112-13;6
A10-2002;C11-1;GRGEMAKT-10303;GALTEJ112-14;11
A10-2002;C11-1;GRGEMAKT-10303;GALTEJ112-15;15
A10-2002;C11-1;GRGEMAKT-10303;GALTEJ112-16;9
A10-2002;C11-1;GRGEMAKT-10303;GALTEJ112-17;17
A10-2002;C11-1;GRGEMAKT-10303;GALTEJ112-18;11
A10-2002;C11-1;GRGEMAKT-10303;GALTEJ112-19;13
A10-2002;C11-1;GRGEMAKT-10303;GALTEJ112-20;12
A10-2002;C11-1;GRGEMAKT-10303;GALTEJ112-21;9
A10-2002;C11-1;GRGEMAKT-10303;GALTEJ112-22;8
A10-2002;C11-1;GRGEMAKT-10303;GALTEJ112-23;16
A10-2002;C11-1;GRGEMAKT-10303;GALTEJ112-24;10
A10-2002;C11-1;GRGEMAKT-10303;GALTEJ112-25;13
A10-2002;C11-1;GRGEMAKT-10303;GALTEJ112-26;15
A10-2002;C11-1;GRGEMAKT-10303;GALTEJ112-27;8
A10-2002;C11-1;GRGEMAKT-10303;GALTEJ112-28;9
A10-2002;C11-1;GRGEMAKT-10303;GALTEJ112-29;6
A10-2002;C11-1;GRGEMAKT-10303;GALTEJ112-30;9
A10-2002;C11-1;GRGEMAKT-10303;GALTEJ112-31;13
A10-2002;C11-1;GRGEMAKT-10303;GALTEJ112-32;14
A10-2002;C11-1;GRGEMAKT-10303;GALTEJ112-33;12
A10-2002;C11-1;GRGEMAKT-10303;GALTEJ112-34;8
A10-2002;C11-1;GRGEMAKT-10303;GALTEJ112-35;12
A10-2002;C11-1;GRGEMAKT-10303;GALTEJ112-36;13
A10-2002;C11-1;GRGEMAKT-10303;GALTEJ112-37;8
A10-2002;C11-1;GRGEMAKT-10303;GALTEJ112-38;14
A10-2002;C11-1;GRGEMAKT-10303;GALTEJ112-39;18
