Gemeindekennziffer alt;Gemeinde alt;Gemeindekennziffer neu;Gemeinde neu;in Kraft seit;Änderungsgrund
61622;Söding;61633;Söding-Sankt Johann;01.01.2015;Zusammenlegung
61623;Södingberg;61628;Geistthal-Södingberg;01.01.2015;Zusammenlegung
61702;Anger;61756;Anger;01.01.2015;Zusammenlegung
61703;Arzberg;61763;Passail;01.01.2015;Zusammenlegung
61704;Baierdorf bei Anger;61756;Anger;01.01.2015;Zusammenlegung
61705;Birkfeld;61757;Birkfeld ;01.01.2015;Zusammenlegung
61706;Etzersdorf-Rollsdorf;61765;Sankt Ruprecht an der Raab;01.01.2015;Zusammenlegung
61707;Feistritz bei Anger;61756;Anger;01.01.2015;Zusammenlegung
61709;Fladnitz an der Teichalm;61758;Fladnitz an der Teichalm;01.01.2015;Zusammenlegung
61712;Gersdorf an der Feistritz;61759;Gersdorf an der Feistritz;01.01.2015;Zusammenlegung
61713;Gleisdorf;61760;Gleisdorf;01.01.2015;Zusammenlegung
61714;Gschaid bei Birkfeld;61757;Birkfeld ;01.01.2015;Zusammenlegung
61715;Gutenberg an der Raabklamm;61761;Gutenberg-Stenzengreith;01.01.2015;Zusammenlegung
61717;Haslau bei Birkfeld;61757;Birkfeld ;01.01.2015;Zusammenlegung
61718;Hirnsdorf ;62266;Feistritztal;01.01.2015;Zusammenlegung
61720;Hohenau an der Raab;61763;Passail;01.01.2015;Zusammenlegung
61721;Ilztal;61762;Ilztal;01.01.2015;Zusammenlegung
61722;Koglhof;61757;Birkfeld ;01.01.2015;Zusammenlegung
61723;Krottendorf;61766;Weiz;01.01.2015;Zusammenlegung
61724;Kulm bei Weiz;61764;Pischelsdorf am Kulm;01.01.2015;Zusammenlegung
61725;Labuch;61760;Gleisdorf;01.01.2015;Zusammenlegung
61726;Laßnitzthal;61760;Gleisdorf;01.01.2015;Zusammenlegung
61732;Naintsch;61756;Anger;01.01.2015;Zusammenlegung
61733;Neudorf bei Passail;61763;Passail;01.01.2015;Zusammenlegung
61734;Nitscha;61760;Gleisdorf;01.01.2015;Zusammenlegung
61735;Oberrettenbach;61759;Gersdorf an der Feistritz;01.01.2015;Zusammenlegung
61736;Passail;61763;Passail;01.01.2015;Zusammenlegung
61737;Pischelsdorf in der Steiermark;61764;Pischelsdorf am Kulm;01.01.2015;Zusammenlegung
61739;Preßguts;61762;Ilztal;01.01.2015;Zusammenlegung
61742;Reichendorf;61764;Pischelsdorf am Kulm;01.01.2015;Zusammenlegung
61747;Sankt Ruprecht an der Raab;61765;Sankt Ruprecht an der Raab;01.01.2015;Zusammenlegung
61749;Stenzengreith;61761;Gutenberg-Stenzengreith;01.01.2015;Zusammenlegung
61752;Ungerdorf;61760;Gleisdorf;01.01.2015;Zusammenlegung
61753;Unterfladnitz;61765;Sankt Ruprecht an der Raab;01.01.2015;Zusammenlegung
61754;Waisenegg;61757;Birkfeld ;01.01.2015;Zusammenlegung
61755;Weiz;61766;Weiz;01.01.2015;Zusammenlegung
62001;Amering;62042;Obdach;01.01.2015;Zusammenlegung
62002;Apfelberg;62041;Knittelfeld;01.01.2015;Zusammenlegung
62003;Bretstein;62044;Pölstal;01.01.2015;Zusammenlegung
62004;Eppenstein;62048;Weißkirchen in Steiermark;01.01.2015;Zusammenlegung
62005;Feistritz bei Knittelfeld;62045;Sankt Marein-Feistritz;01.01.2015;Zusammenlegung
62006;Flatschach;62047;Spielberg;01.01.2015;Zusammenlegung
62009;Großlobming;62039;Großlobming;01.01.2015;Zusammenlegung
62011;Judenburg;62040;Judenburg;01.01.2015;Zusammenlegung
62012;Kleinlobming;62039;Großlobming;01.01.2015;Zusammenlegung
62013;Knittelfeld;62041;Knittelfeld;01.01.2015;Zusammenlegung
62015;Maria Buch-Feistritz;62048;Weißkirchen in Steiermark;01.01.2015;Zusammenlegung
62016;Obdach;62042;Obdach;01.01.2015;Zusammenlegung
62017;Oberkurzheim;62043;Pöls-Oberkurzheim;01.01.2015;Zusammenlegung
62018;Oberweg;62040;Judenburg;01.01.2015;Zusammenlegung
62019;Oberzeiring;62044;Pölstal;01.01.2015;Zusammenlegung
62020;Pöls;62043;Pöls-Oberkurzheim;01.01.2015;Zusammenlegung
62022;Rachau;62046;Sankt Margarethen bei Knittelfeld;01.01.2015;Zusammenlegung
62023;Reifling;62040;Judenburg;01.01.2015;Zusammenlegung
62024;Reisstraße;62048;Weißkirchen in Steiermark;01.01.2015;Zusammenlegung
62025;Sankt Anna am Lavantegg;62042;Obdach;01.01.2015;Zusammenlegung
62027;Sankt Johann am Tauern;62044;Pölstal;01.01.2015;Zusammenlegung
62028;Sankt Lorenzen bei Knittelfeld;62046;Sankt Margarethen bei Knittelfeld;01.01.2015;Zusammenlegung
62029;Sankt Marein bei Knittelfeld;62045;Sankt Marein-Feistritz;01.01.2015;Zusammenlegung
62030;Sankt Margarethen bei Knittelfeld;62046;Sankt Margarethen bei Knittelfeld;01.01.2015;Zusammenlegung
62031;Sankt Oswald-Möderbrugg;62044;Pölstal;01.01.2015;Zusammenlegung
62033;Sankt Wolfgang-Kienberg;62042;Obdach;01.01.2015;Zusammenlegung
62035;Spielberg;62047;Spielberg;01.01.2015;Zusammenlegung
62037;Weißkirchen in Steiermark;62048;Weißkirchen in Steiermark;01.01.2015;Zusammenlegung
62101;Aflenz Kurort;62138;Aflenz;01.01.2015;Zusammenlegung
62102;Aflenz Land;62138;Aflenz;01.01.2015;Zusammenlegung
62103;Allerheiligen im Mürztal;62141;Kindberg;01.01.2015;Zusammenlegung
62104;Altenberg an der Rax;62144;Neuberg an der Mürz;01.01.2015;Zusammenlegung
62106;Bruck an der Mur;62139;Bruck an der Mur;01.01.2015;Zusammenlegung
62107;Etmißl;62147;Thörl;01.01.2015;Zusammenlegung
62108;Frauenberg;62146;Sankt Marein im Mürztal;01.01.2015;Zusammenlegung
62109;Ganz;62143;Mürzzuschlag;01.01.2015;Zusammenlegung
62110;Gußwerk;62142;Mariazell;01.01.2015;Zusammenlegung
62111;Halltal;62142;Mariazell;01.01.2015;Zusammenlegung
62112;Kapellen;62144;Neuberg an der Mürz;01.01.2015;Zusammenlegung
62113;Kapfenberg;62140;Kapfenberg;01.01.2015;Zusammenlegung
62114;Kindberg;62141;Kindberg;01.01.2015;Zusammenlegung
62117;Mariazell;62142;Mariazell;01.01.2015;Zusammenlegung
62118;Mitterdorf im Mürztal;62145;Sankt Barbara im Mürztal;01.01.2015;Zusammenlegung
62119;Mürzhofen;62141;Kindberg;01.01.2015;Zusammenlegung
62120;Mürzsteg;62144;Neuberg an der Mürz;01.01.2015;Zusammenlegung
62121;Mürzzuschlag;62143;Mürzzuschlag;01.01.2015;Zusammenlegung
62122;Neuberg an der Mürz;62144;Neuberg an der Mürz;01.01.2015;Zusammenlegung
62123;Oberaich;62139;Bruck an der Mur;01.01.2015;Zusammenlegung
62124;Parschlug;62140;Kapfenberg;01.01.2015;Zusammenlegung
62126;Sankt Ilgen;62147;Thörl;01.01.2015;Zusammenlegung
62127;Sankt Katharein an der Laming;62148;Tragöß-Sankt Katharein;01.01.2015;Zusammenlegung
62129;Sankt Marein im Mürztal;62146;Sankt Marein im Mürztal;01.01.2015;Zusammenlegung
62130;Sankt Sebastian;62142;Mariazell;01.01.2015;Zusammenlegung
62133;Thörl;62147;Thörl;01.01.2015;Zusammenlegung
62134;Tragöß;62148;Tragöß-Sankt Katharein;01.01.2015;Zusammenlegung
62136;Veitsch;62145;Sankt Barbara im Mürztal;01.01.2015;Zusammenlegung
62137;Wartberg im Mürztal;62145;Sankt Barbara im Mürztal;01.01.2015;Zusammenlegung
62201;Altenmarkt bei Fürstenfeld;62267;Fürstenfeld;01.01.2015;Zusammenlegung
62203;Bad Waltersdorf;62264;Bad Waltersdorf;01.01.2015;Zusammenlegung
62204;Blaindorf ;62266;Feistritztal;01.01.2015;Zusammenlegung
62207;Dechantskirchen;62265;Dechantskirchen;01.01.2015;Zusammenlegung
62208;Dienersdorf;62272;Kaindorf;01.01.2015;Zusammenlegung
62210;Eichberg;62277;Rohrbach an der Lafnitz;01.01.2015;Zusammenlegung
62212;Fürstenfeld;62267;Fürstenfeld;01.01.2015;Zusammenlegung
62213;Grafendorf bei Hartberg;62268;Grafendorf bei Hartberg;01.01.2015;Zusammenlegung
62215;Großhart;62270;Hartl;01.01.2015;Zusammenlegung
62217;Großwilfersdorf;62269;Großwilfersdorf;01.01.2015;Zusammenlegung
62218;Hainersdorf;62269;Großwilfersdorf;01.01.2015;Zusammenlegung
62221;Hartl;62270;Hartl;01.01.2015;Zusammenlegung
62222;Hofkirchen bei Hartberg;62272;Kaindorf;01.01.2015;Zusammenlegung
62223;Ilz;62271;Ilz;01.01.2015;Zusammenlegung
62224;Kaibing ;62266;Feistritztal;01.01.2015;Zusammenlegung
62225;Kaindorf;62272;Kaindorf;01.01.2015;Zusammenlegung
62227;Limbach bei Neudau (Teil);62264;Bad Waltersdorf;01.01.2015;Zusammenlegung
62227;Limbach bei Neudau (Teil);62274;Neudau;01.01.2015;Zusammenlegung
62228;Loipersdorf bei Fürstenfeld;62273;Loipersdorf bei Fürstenfeld;01.01.2015;Zusammenlegung
62229;Mönichwald;62279;Waldbach-Mönichwald;01.01.2015;Zusammenlegung
62230;Nestelbach im Ilztal;62271;Ilz;01.01.2015;Zusammenlegung
62231;Neudau;62274;Neudau;01.01.2015;Zusammenlegung
62234;Pöllau;62275;Pöllau;01.01.2015;Zusammenlegung
62236;Puchegg;62278;Vorau;01.01.2015;Zusammenlegung
62237;Rabenwald;62275;Pöllau;01.01.2015;Zusammenlegung
62238;Riegersberg;62278;Vorau;01.01.2015;Zusammenlegung
62239;Rohr bei Hartberg;62276;Rohr bei Hartberg;01.01.2015;Zusammenlegung
62240;Rohrbach an der Lafnitz;62277;Rohrbach an der Lafnitz;01.01.2015;Zusammenlegung
62241;Saifen-Boden;62275;Pöllau;01.01.2015;Zusammenlegung
62243;Sankt Johann bei Herberstein ;62266;Feistritztal;01.01.2015;Zusammenlegung
62246;Schachen bei Vorau;62278;Vorau;01.01.2015;Zusammenlegung
62248;Schlag bei Thalberg (Teil);62265;Dechantskirchen;01.01.2015;Zusammenlegung
62248;Schlag bei Thalberg (Teil);62277;Rohrbach an der Lafnitz;01.01.2015;Zusammenlegung
62249;Schönegg bei Pöllau;62275;Pöllau;01.01.2015;Zusammenlegung
62250;Sebersdorf;62264;Bad Waltersdorf;01.01.2015;Zusammenlegung
62251;Siegersdorf bei Herberstein;62266;Feistritztal;01.01.2015;Zusammenlegung
62252;Söchau;62280;Fürstenfeld;01.01.2025;Zusammenlegung
62253;Sonnhofen;62275;Pöllau;01.01.2015;Zusammenlegung
62254;Stambach;62268;Grafendorf bei Hartberg;01.01.2015;Zusammenlegung
62255;Stein;62273;Loipersdorf bei Fürstenfeld;01.01.2015;Zusammenlegung
62257;Tiefenbach bei Kaindorf;62270;Hartl;01.01.2015;Zusammenlegung
62258;Übersbach;62267;Fürstenfeld;01.01.2015;Zusammenlegung
62259;Vorau;62278;Vorau;01.01.2015;Zusammenlegung
62260;Vornholz;62278;Vorau;01.01.2015;Zusammenlegung
62261;Waldbach;62279;Waldbach-Mönichwald;01.01.2015;Zusammenlegung
62263;Wörth an der Lafnitz;62276;Rohr bei Hartberg;01.01.2015;Zusammenlegung
62267;Fürstenfeld;62280;Fürstenfeld;01.01.2025;Zusammenlegung
62301;Auersbach;62379;Feldbach;01.01.2015;Zusammenlegung
62302;Aug-Radisch;62380;Gnas;01.01.2015;Zusammenlegung
62303;Bad Gleichenberg;62375;Bad Gleichenberg;01.01.2015;Zusammenlegung
62304;Bad Radkersburg;62376;Bad Radkersburg;01.01.2015;Zusammenlegung
62305;Bairisch Kölldorf;62375;Bad Gleichenberg;01.01.2015;Zusammenlegung
62306;Baumgarten bei Gnas;62380;Gnas;01.01.2015;Zusammenlegung
62307;Bierbaum am Auersbach;62388;Sankt Peter am Ottersbach;02.01.2015;Zusammenlegung
62308;Breitenfeld an der Rittschein;62386;Riegersburg;01.01.2015;Zusammenlegung
62309;Deutsch Goritz;62377;Deutsch Goritz;01.01.2015;Zusammenlegung
62310;Dietersdorf am Gnasbach;62388;Sankt Peter am Ottersbach;03.01.2015;Zusammenlegung
62312;Edelstauden;62385;Pirching am Traubenberg;01.01.2015;Zusammenlegung
62313;Eichfeld;62383;Mureck;01.01.2015;Zusammenlegung
62315;Fehring;62378;Fehring;01.01.2015;Zusammenlegung
62316;Feldbach;62379;Feldbach;01.01.2015;Zusammenlegung
62317;Fladnitz im Raabtal;62382;Kirchberg an der Raab;01.01.2015;Zusammenlegung
62318;Frannach;62385;Pirching am Traubenberg;01.01.2015;Zusammenlegung
62319;Frutten-Gießelsdorf;62387;Sankt Anna am Aigen;01.01.2015;Zusammenlegung
62320;Glojach;62389;Sankt Stefan im Rosental;01.01.2015;Zusammenlegung
62321;Gnas;62380;Gnas;01.01.2015;Zusammenlegung
62322;Gniebing-Weißenbach;62379;Feldbach;01.01.2015;Zusammenlegung
62323;Gosdorf;62383;Mureck;01.01.2015;Zusammenlegung
62324;Gossendorf;62379;Feldbach;01.01.2015;Zusammenlegung
62325;Grabersdorf;62380;Gnas;01.01.2015;Zusammenlegung
62327;Hatzendorf;62378;Fehring;01.01.2015;Zusammenlegung
62328;Hof bei Straden;62390;Straden;01.01.2015;Zusammenlegung
62329;Hohenbrugg-Weinberg;62378;Fehring;01.01.2015;Zusammenlegung
62331;Johnsdorf-Brunn;62378;Fehring;01.01.2015;Zusammenlegung
62333;Kirchbach in der Steiermark;62381;Kirchbach in der Steiermark;01.01.2015;Zusammenlegung
62334;Kirchberg an der Raab;62382;Kirchberg an der Raab;01.01.2015;Zusammenlegung
62336;Kohlberg (Teil);62380;Gnas;01.01.2015;Zusammenlegung
62336;Kohlberg (Teil);62384;Paldau;01.01.2015;Zusammenlegung
62337;Kornberg bei Riegersburg;62386;Riegersburg;01.01.2015;Zusammenlegung
62338;Krusdorf;62390;Straden;01.01.2015;Zusammenlegung
62339;Leitersdorf im Raabtal;62379;Feldbach;01.01.2015;Zusammenlegung
62340;Lödersdorf;62386;Riegersburg;01.01.2015;Zusammenlegung
62341;Maierdorf;62380;Gnas;01.01.2015;Zusammenlegung
62342;Merkendorf;62375;Bad Gleichenberg;01.01.2015;Zusammenlegung
62344;Mitterlabill ;61057;Schwarzautal ;01.01.2015;Zusammenlegung
62345;Mühldorf bei Feldbach;62379;Feldbach;01.01.2015;Zusammenlegung
62346;Mureck;62383;Mureck;01.01.2015;Zusammenlegung
62347;Murfeld (Rest);61060;Sankt Veit in der Südsteiermark;01.01.2020;Zusammenlegung
62347;Murfeld (KG Seibersdorf bei St. Veit);61060;Sankt Veit in der Südsteiermark;01.01.2020;Teilung
62347;Murfeld;61061;Straß in Steiermark;01.01.2020;Zusammenlegung
62347;Murfeld;61061;Straß in Steiermark;01.01.2020;Teilung
62348;Oberdorf am Hochegg;62382;Kirchberg an der Raab;01.01.2015;Zusammenlegung
62349;Oberstorcha (Teil);62382;Kirchberg an der Raab;01.01.2015;Zusammenlegung
62349;Oberstorcha (Teil);62384;Paldau;01.01.2015;Zusammenlegung
62350;Paldau;62384;Paldau;01.01.2015;Zusammenlegung
62351;Perlsdorf;62384;Paldau;01.01.2015;Zusammenlegung
62352;Pertlstein;62378;Fehring;01.01.2015;Zusammenlegung
62353;Petersdorf II;60668;Sankt Marein bei Graz;01.01.2015;Zusammenlegung
62354;Pirching am Traubenberg;62385;Pirching am Traubenberg;01.01.2015;Zusammenlegung
62355;Poppendorf;62380;Gnas;01.01.2015;Zusammenlegung
62356;Raabau;62379;Feldbach;01.01.2015;Zusammenlegung
62357;Radkersburg Umgebung;62376;Bad Radkersburg;01.01.2015;Zusammenlegung
62358;Raning;62380;Gnas;01.01.2015;Zusammenlegung
62359;Ratschendorf;62377;Deutsch Goritz;01.01.2015;Zusammenlegung
62360;Riegersburg;62386;Riegersburg;01.01.2015;Zusammenlegung
62361;Sankt Anna am Aigen;62387;Sankt Anna am Aigen;01.01.2015;Zusammenlegung
62362;Sankt Peter am Ottersbach;62388;Sankt Peter am Ottersbach;01.01.2015;Zusammenlegung
62363;Sankt Stefan im Rosental;62389;Sankt Stefan im Rosental;01.01.2015;Zusammenlegung
62364;Schwarzau im Schwarzautal ;61057;Schwarzautal ;01.01.2015;Zusammenlegung
62365;Stainz bei Straden;62390;Straden;01.01.2015;Zusammenlegung
62366;Straden;62390;Straden;01.01.2015;Zusammenlegung
62367;Studenzen;62382;Kirchberg an der Raab;01.01.2015;Zusammenlegung
62369;Trautmannsdorf in Oststeiermark;62375;Bad Gleichenberg;01.01.2015;Zusammenlegung
62370;Trössing;62380;Gnas;01.01.2015;Zusammenlegung
62371;Unterauersbach;62380;Gnas;01.01.2015;Zusammenlegung
62373;Weinburg am Saßbach ;61056;Sankt Veit in der Südsteiermark;01.01.2015;Zusammenlegung
62374;Zerlach;62381;Kirchbach in der Steiermark;01.01.2015;Zusammenlegung
70327;Matrei am Brenner;70370;Matrei am Brenner;01.01.2022;Zusammenlegung
70330;Mühlbachl;70370;Matrei am Brenner;01.01.2022;Zusammenlegung
70341;Pfons;70370;Matrei am Brenner;01.01.2022;Zusammenlegung
Q: STATISTIK AUSTRIA. Erstellt am: 25.02.2026;;;;;
;;;;;
