jahr;gemnr;n
2003;Himmelberg <21005>;2351,25
2003;Ossiach <21006>;745,5
2003;Reichenau <21007>;2033,25
2003;St. Urban <21008>;1508
2003;Steindorf am Ossiacher See <21009>;3565,5
2003;Steuerberg <21010>;1706,125
2003;Dellach <20302>;1343
2003;Gitschtal <20320>;1303,25
2003;Hermagor-Pressegger See <20305>;7202,375
2003;Kirchbach <20306>;2800
2003;Kötschach-Mauthen <20307>;3588,125
2003;Lesachtal <20321>;1515,125
2003;St. Stefan im Gailtal <20316>;1747,125
2003;Ebenthal in Kärnten <20402>;7436,375
2003;Feistritz im Rosental <20403>;2649,5
2003;Ferlach <20405>;7521,5
2003;Grafenstein <20409>;2675,875
2003;Keutschach am See <20412>;2328,125
2003;Köttmannsdorf <20414>;2815,375
2003;Krumpendorf am Wörthersee <20415>;2922,75
2003;Ludmannsdorf <20416>;1834,625
2003;Maria Rain <20417>;2081,375
2003;Maria Saal <20418>;3829,125
2003;Maria Wörth <20419>;1287
2003;Moosburg <20421>;4508,625
2003;Pörtschach am Wörther See <20424>;2662,5
2003;Poggersdorf <20425>;2902,75
2003;Schiefling am Wörthersee <20432>;2341,25
2003;St. Margareten im Rosental <20428>;1117
2003;Techelsberg am Wörther See <20435>;2123,25
2003;Zell <20441>;693,75
2003;Magdalensberg <20442>;3020,5
2003;Althofen <20501>;4687,5
2003;Brückl <20502>;3063,75
2003;Deutsch-Griffen <20503>;994,25
2003;Eberstein <20504>;1504,75
2003;Friesach <20505>;5399,25
2003;Glödnitz <20506>;958,375
2003;Gurk <20508>;1286,875
2003;Guttaring <20509>;1531,125
2003;Hüttenberg <20511>;1732,5
2003;Kappel am Krappfeld <20512>;2030,5
2003;Klein St. Paul <20513>;2106,5
2003;Liebenfels <20515>;3279,875
2003;Metnitz <20518>;2394
2003;Micheldorf <20519>;1163,5
2003;Mölbling <20520>;1290,25
2003;St. Georgen am Längsee <20523>;3560,25
2003;St. Veit an der Glan <20527>;12892,75
2003;Straßburg <20530>;2276,5
2003;Weitensfeld im Gurktal <20531>;2388,5
2003;Frauenstein <20534>;3491,375
2003;Bad Kleinkirchheim <20601>;1872
2003;Baldramsdorf <20602>;1851,625
2003;Berg im Drautal <20603>;1383,75
2003;Dellach im Drautal <20604>;1749,25
2003;Großkirchheim <20605>;1589,5
2003;Flattach <20607>;1353,125
2003;Gmünd in Kärnten <20608>;2667,625
2003;Greifenburg <20609>;1907,875
2003;Heiligenblut am Großglockner <20610>;1135,375
2003;Irschen <20611>;2083,875
2003;Kleblach-Lind <20613>;1250,375
2003;Lendorf <20616>;1762
2003;Mallnitz <20618>;954,625
2003;Malta <20619>;2136,125
2003;Millstatt am See <20620>;3335,5
2003;Mörtschach <20622>;936
2003;Mühldorf <20624>;941,125
2003;Oberdrauburg <20625>;1314,625
2003;Obervellach <20627>;2409,125
2003;Radenthein <20630>;6711,5
2003;Rangersdorf <20631>;1775,75
2003;Rennweg am Katschberg <20632>;1990
2003;Sachsenburg <20633>;1450,25
2003;Seeboden am Millstätter See <20634>;6064,5
2003;Spittal an der Drau <20635>;16049
2003;Stall <20636>;1809
2003;Steinfeld <20637>;2214,75
2003;Trebesing <20638>;1267,375
2003;Weißensee <20639>;792,25
2003;Winklern <20640>;1137,875
2003;Krems in Kärnten <20642>;2110,375
2003;Lurnfeld <20643>;2716,75
2003;Reißeck <20644>;2516,125
2003;Afritz am See <20701>;1486,875
2003;Arnoldstein <20702>;6754,375
2003;Arriach <20703>;1552,625
2003;Bad Bleiberg <20705>;2643,125
2003;Feistritz an der Gail <20707>;650,875
2003;Feld am See <20708>;1201,25
2003;Ferndorf <20710>;2423,375
2003;Finkenstein am Faaker See <20711>;8166,125
2003;Fresach <20712>;1309,625
2003;Hohenthurn <20713>;829,375
2003;Nötsch im Gailtal <20719>;2349,25
2003;Paternion <20720>;6115,25
2003;Rosegg <20721>;1821,5
2003;St. Jakob im Rosental <20722>;4491,5
2003;Stockenboi <20723>;1727,5
2003;Treffen am Ossiacher See <20724>;4263,875
2003;Velden am Wörther See <20725>;8570,875
2003;Weißenstein <20726>;3083,125
2003;Wernberg <20727>;4920,625
2003;Bleiburg <20801>;4052,125
2003;Diex <20802>;866,25
2003;Eberndorf <20803>;6034,125
2003;Eisenkappel-Vellach <20804>;2631,25
2003;Feistritz ob Bleiburg <20805>;2088,5
2003;Gallizien <20806>;1826,125
2003;Globasnitz <20807>;1661,25
2003;Griffen <20808>;3628
2003;Neuhaus <20810>;1197,5
2003;Ruden <20812>;1562,375
2003;St. Kanzian am Klopeiner See <20813>;4433,125
2003;Sittersdorf <20815>;2088,125
2003;Völkermarkt <20817>;11400,25
2003;Bad St. Leonhard im Lavanttal <20901>;4775,25
2003;Frantschach-St. Gertraud <20905>;3035,375
2003;Lavamünd <20909>;3418,5
2003;Preitenegg <20911>;1104,625
2003;Reichenfels <20912>;2039,75
2003;St. Andrä <20913>;10665,75
2003;St. Georgen im Lavanttal <20914>;2114,375
2003;St. Paul im Lavanttal <20918>;3597
2003;Wolfsberg <20923>;25304,5
2004;Klagenfurt am Wörthersee <20101>;91333,125
2004;Villach <20201>;57618,125
2004;Albeck <21001>;1077,75
2004;Feldkirchen in Kärnten <21002>;14176,25
2004;Glanegg <21003>;1989
2004;Gnesau <21004>;1180,25
2004;Himmelberg <21005>;2346,875
2004;Ossiach <21006>;731,625
2004;Reichenau <21007>;2030,125
2004;St. Urban <21008>;1524,875
2004;Steindorf am Ossiacher See <21009>;3579,25
2004;Steuerberg <21010>;1711,125
2004;Dellach <20302>;1348,5
2004;Gitschtal <20320>;1300,5
2004;Hermagor-Pressegger See <20305>;7193,75
2004;Kirchbach <20306>;2825,875
2004;Kötschach-Mauthen <20307>;3570,875
2004;Lesachtal <20321>;1499,875
2004;St. Stefan im Gailtal <20316>;1708
2004;Ebenthal in Kärnten <20402>;7477,625
2004;Feistritz im Rosental <20403>;2637,125
2004;Ferlach <20405>;7472,125
2004;Grafenstein <20409>;2685,625
2004;Keutschach am See <20412>;2317,875
2004;Köttmannsdorf <20414>;2839
2004;Krumpendorf am Wörthersee <20415>;3028,75
2004;Ludmannsdorf <20416>;1837,5
2004;Maria Rain <20417>;2135,375
2004;Maria Saal <20418>;3859,5
2004;Maria Wörth <20419>;1306,25
2004;Moosburg <20421>;4519,25
2004;Pörtschach am Wörther See <20424>;2661,25
2004;Poggersdorf <20425>;2915,25
2004;Schiefling am Wörthersee <20432>;2366,875
2004;St. Margareten im Rosental <20428>;1122,625
2004;Techelsberg am Wörther See <20435>;2158,875
2004;Zell <20441>;682,75
2004;Magdalensberg <20442>;3022,75
2004;Althofen <20501>;4662,5
2004;Brückl <20502>;3057,75
2004;Deutsch-Griffen <20503>;985,875
2004;Eberstein <20504>;1518,75
2004;Friesach <20505>;5341
2004;Glödnitz <20506>;944,5
2004;Gurk <20508>;1276,75
2004;Guttaring <20509>;1518,625
2004;Hüttenberg <20511>;1712,25
2004;Kappel am Krappfeld <20512>;2023,25
2004;Klein St. Paul <20513>;2086,25
2004;Liebenfels <20515>;3270,625
2004;Metnitz <20518>;2362,125
2004;Micheldorf <20519>;1163,5
2004;Mölbling <20520>;1281
2004;St. Georgen am Längsee <20523>;3592,125
2004;St. Veit an der Glan <20527>;12942,125
2004;Straßburg <20530>;2248,5
2004;Weitensfeld im Gurktal <20531>;2382,375
2004;Frauenstein <20534>;3512
2004;Bad Kleinkirchheim <20601>;1837,75
2004;Baldramsdorf <20602>;1859,875
2004;Berg im Drautal <20603>;1376,125
2004;Dellach im Drautal <20604>;1754,625
2004;Großkirchheim <20605>;1578,5
2004;Flattach <20607>;1332,75
2004;Gmünd in Kärnten <20608>;2682,25
2004;Greifenburg <20609>;1886,5
2004;Heiligenblut am Großglockner <20610>;1112,5
2004;Irschen <20611>;2072,125
2004;Kleblach-Lind <20613>;1245,375
2004;Lendorf <20616>;1747,375
2004;Mallnitz <20618>;938,875
2004;Malta <20619>;2107,125
2004;Millstatt am See <20620>;3368,875
2004;Mörtschach <20622>;922,25
2004;Mühldorf <20624>;940,375
2004;Oberdrauburg <20625>;1317,375
2004;Obervellach <20627>;2419,75
2004;Radenthein <20630>;6725,875
2004;Rangersdorf <20631>;1762,375
2004;Rennweg am Katschberg <20632>;1984,5
2004;Sachsenburg <20633>;1421
2004;Seeboden am Millstätter See <20634>;6106,25
2004;Spittal an der Drau <20635>;16036,875
2004;Stall <20636>;1803,75
2004;Steinfeld <20637>;2193,625
2004;Trebesing <20638>;1263
2004;Weißensee <20639>;785
2004;Winklern <20640>;1177,5
2004;Krems in Kärnten <20642>;2092,5
2004;Lurnfeld <20643>;2739,625
2004;Reißeck <20644>;2483,75
2004;Afritz am See <20701>;1490,5
2004;Arnoldstein <20702>;6788
2004;Arriach <20703>;1538,5
2004;Bad Bleiberg <20705>;2626,5
2004;Feistritz an der Gail <20707>;660
2004;Feld am See <20708>;1193,75
2004;Ferndorf <20710>;2403,875
2004;Finkenstein am Faaker See <20711>;8213
2004;Fresach <20712>;1304,875
2004;Hohenthurn <20713>;815,25
2004;Nötsch im Gailtal <20719>;2338,625
2004;Paternion <20720>;6084,625
2004;Rosegg <20721>;1825,875
2004;St. Jakob im Rosental <20722>;4471,875
2004;Stockenboi <20723>;1736,375
2004;Treffen am Ossiacher See <20724>;4333,5
2004;Velden am Wörther See <20725>;8556,25
2004;Weißenstein <20726>;3063,5
2004;Wernberg <20727>;4986,125
2004;Bleiburg <20801>;4036,5
2004;Diex <20802>;851,375
2004;Eberndorf <20803>;6042,125
2004;Eisenkappel-Vellach <20804>;2585,25
2004;Feistritz ob Bleiburg <20805>;2078,75
2004;Gallizien <20806>;1818,375
2004;Globasnitz <20807>;1666,875
2004;Griffen <20808>;3615,375
2004;Neuhaus <20810>;1193,5
2004;Ruden <20812>;1558,125
2004;St. Kanzian am Klopeiner See <20813>;4392,25
2004;Sittersdorf <20815>;2082,75
2004;Völkermarkt <20817>;11426,125
2004;Bad St. Leonhard im Lavanttal <20901>;4725,25
2004;Frantschach-St. Gertraud <20905>;2951,5
2004;Lavamünd <20909>;3374,875
2004;Preitenegg <20911>;1100,375
2004;Reichenfels <20912>;2024,75
2004;St. Andrä <20913>;10649,75
2004;St. Georgen im Lavanttal <20914>;2105,625
2004;St. Paul im Lavanttal <20918>;3597,875
2004;Wolfsberg <20923>;25381,625
2005;Klagenfurt am Wörthersee <20101>;91955,375
2005;Villach <20201>;57975,75
2005;Albeck <21001>;1068,75
2005;Feldkirchen in Kärnten <21002>;14267,375
2005;Glanegg <21003>;1992,125
2005;Gnesau <21004>;1189,75
2005;Himmelberg <21005>;2349,5
2005;Ossiach <21006>;741,625
2005;Reichenau <21007>;2021,875
2005;St. Urban <21008>;1514,25
2005;Steindorf am Ossiacher See <21009>;3586,25
2005;Steuerberg <21010>;1715,25
2005;Dellach <20302>;1347,875
2005;Gitschtal <20320>;1306,625
2005;Hermagor-Pressegger See <20305>;7164,25
2005;Kirchbach <20306>;2848,75
2005;Kötschach-Mauthen <20307>;3544,5
2005;Lesachtal <20321>;1500,125
2005;St. Stefan im Gailtal <20316>;1689,25
2005;Ebenthal in Kärnten <20402>;7532,5
2005;Feistritz im Rosental <20403>;2675
2005;Ferlach <20405>;7396,5
2005;Grafenstein <20409>;2732,25
2005;Keutschach am See <20412>;2315,375
2005;Köttmannsdorf <20414>;2858,5
2005;Krumpendorf am Wörthersee <20415>;3120,625
2005;Ludmannsdorf <20416>;1855
2005;Maria Rain <20417>;2173,375
2005;Maria Saal <20418>;3872,375
2005;Maria Wörth <20419>;1332,625
2005;Moosburg <20421>;4488,875
2005;Pörtschach am Wörther See <20424>;2633,5
2005;Poggersdorf <20425>;2934,5
2005;Schiefling am Wörthersee <20432>;2396,75
2005;St. Margareten im Rosental <20428>;1111,75
2005;Techelsberg am Wörther See <20435>;2173
2005;Zell <20441>;667
2005;Magdalensberg <20442>;3049,625
2005;Althofen <20501>;4680,625
2005;Brückl <20502>;3026,875
2005;Deutsch-Griffen <20503>;977,875
2005;Eberstein <20504>;1525,5
2005;Friesach <20505>;5311,5
2005;Glödnitz <20506>;930,375
2005;Gurk <20508>;1273,5
2005;Guttaring <20509>;1503
2005;Hüttenberg <20511>;1687,125
2005;Kappel am Krappfeld <20512>;2003,75
2005;Klein St. Paul <20513>;2053,625
2005;Liebenfels <20515>;3288,375
2005;Metnitz <20518>;2357,375
2005;Micheldorf <20519>;1148,625
2005;Mölbling <20520>;1281,875
2005;St. Georgen am Längsee <20523>;3619,375
2005;St. Veit an der Glan <20527>;13004
2005;Straßburg <20530>;2227
2005;Weitensfeld im Gurktal <20531>;2355,75
2005;Frauenstein <20534>;3519,75
2005;Bad Kleinkirchheim <20601>;1804,625
2005;Baldramsdorf <20602>;1853,25
2005;Berg im Drautal <20603>;1371,875
2005;Dellach im Drautal <20604>;1737,875
2005;Großkirchheim <20605>;1566,375
2005;Flattach <20607>;1325,875
2005;Gmünd in Kärnten <20608>;2689,875
2005;Greifenburg <20609>;1876,125
2005;Heiligenblut am Großglockner <20610>;1107,125
2005;Irschen <20611>;2059,25
2005;Kleblach-Lind <20613>;1251,75
2005;Lendorf <20616>;1749,5
2005;Mallnitz <20618>;919,875
2005;Malta <20619>;2122,125
2005;Millstatt am See <20620>;3366
2005;Mörtschach <20622>;904
2005;Mühldorf <20624>;926,375
2005;Oberdrauburg <20625>;1312,5
2005;Obervellach <20627>;2407,125
2005;Radenthein <20630>;6654,75
2005;Rangersdorf <20631>;1749,625
2005;Rennweg am Katschberg <20632>;1985,25
2005;Sachsenburg <20633>;1403,375
2005;Seeboden am Millstätter See <20634>;6119,5
2005;Spittal an der Drau <20635>;15971,75
2005;Stall <20636>;1772
2005;Steinfeld <20637>;2182,125
2005;Trebesing <20638>;1269,375
2005;Weißensee <20639>;786,875
2005;Winklern <20640>;1202,375
2005;Krems in Kärnten <20642>;2069,125
2005;Lurnfeld <20643>;2738,25
2005;Reißeck <20644>;2449,375
2005;Afritz am See <20701>;1497,75
2005;Arnoldstein <20702>;6811,25
2005;Arriach <20703>;1524,875
2005;Bad Bleiberg <20705>;2619,375
2005;Feistritz an der Gail <20707>;652,75
2005;Feld am See <20708>;1171,5
2005;Ferndorf <20710>;2388,375
2005;Finkenstein am Faaker See <20711>;8242,625
2005;Fresach <20712>;1307,75
2005;Hohenthurn <20713>;818
2005;Nötsch im Gailtal <20719>;2339,875
2005;Paternion <20720>;6059,75
2005;Rosegg <20721>;1830,375
2005;St. Jakob im Rosental <20722>;4443,5
2005;Stockenboi <20723>;1716,375
2005;Treffen am Ossiacher See <20724>;4324,5
2005;Velden am Wörther See <20725>;8583,625
2005;Weißenstein <20726>;3069,75
2005;Wernberg <20727>;5063,875
2005;Bleiburg <20801>;3994,625
2005;Diex <20802>;848,25
2005;Eberndorf <20803>;6056,75
2005;Eisenkappel-Vellach <20804>;2541,5
2005;Feistritz ob Bleiburg <20805>;2094,625
2005;Gallizien <20806>;1813,625
