jahr;gemnr;n
2002;Graz <60101>;234041,625
2002;Eisenerz <61101>;6214,75
2002;Gai ^<61102>;1760,5
2002;Hafning bei Trofaiach ^<61103>;1648,375
2002;Hieflau ^<61104>;986,875
2002;Kalwang <61105>;1189
2002;Kammern im Liesingtal <61106>;1655,625
2002;Kraubath an der Mur <61107>;1355,625
2002;Leoben <61108>;25580,75
2002;Mautern in Steiermark <61109>;2077,625
2002;Niklasdorf <61110>;2690,875
2002;Proleb <61111>;1626
2002;Radmer <61112>;782,25
2002;Sankt Michael in Obersteiermark <61113>;3303,375
2002;Sankt Peter-Freienstein <61114>;2488,125
2002;Sankt Stefan ob Leoben <61115>;2088,25
2002;Traboch <61116>;1351,375
2002;Trofaiach ^<61117>;8321,75
2002;Trofaiach <61120>;-
2002;Vordernberg <61118>;1342,25
2002;Wald am Schoberpaß <61119>;686,125
2002;Admont ^<61201>;2725,875
2002;Admont <61253>;-
2002;Aich ^<61202>;836,25
2002;Aich <61254>;-
2002;Aigen im Ennstal <61203>;2546,875
2002;Altaussee <61204>;1857,75
2002;Altenmarkt bei Sankt Gallen <61205>;928,75
2002;Ardning <61206>;1244,5
2002;Bad Aussee <61207>;4946,75
2002;Bad Mitterndorf ^<61226>;3172,375
2002;Bad Mitterndorf <61255>;-
2002;Donnersbach ^<61208>;1126,375
2002;Donnersbachwald ^<61209>;356,875
2002;Gaishorn am See ^<61210>;1086,5
2002;Gaishorn am See <61256>;-
2002;Gams bei Hieflau ^<61211>;631,375
2002;Gössenberg ^<61212>;297
2002;Gröbming <61213>;2490,5
2002;Großsölk ^<61214>;517,375
2002;Grundlsee <61215>;1312,5
2002;Hall ^<61216>;1858,375
2002;Haus <61217>;2465,625
2002;Irdning ^<61218>;2638,625
2002;Irdning-Donnersbachtal <61257>;-
2002;Johnsbach ^<61219>;161,875
2002;Kleinsölk ^<61220>;613,25
2002;Landl ^<61221>;1345,5
2002;Landl <61258>;-
2002;Lassing <61222>;1817,375
2002;Liezen ^<61223>;6914,25
2002;Liezen <61259>;-
2002;Michaelerberg ^<61224>;520,75
2002;Michaelerberg-Pruggern <61260>;-
2002;Mitterberg ^<61225>;1078,375
2002;Mitterberg-Sankt Martin <61261>;-
2002;Niederöblarn ^<61227>;560,375
2002;Öblarn ^<61228>;1471,625
2002;Öblarn <61262>;-
2002;Oppenberg ^<61229>;275,125
2002;Palfau ^<61230>;440
2002;Palten ^<61231>;-
2002;Pichl-Kainisch ^<61233>;770,375
2002;Pichl-Preunegg ^<61232>;895,125
2002;Pruggern ^<61234>;652,625
2002;Pürgg-Trautenfels ^<61235>;988,875
2002;Ramsau am Dachstein <61236>;2693,625
2002;Rohrmoos-Untertal ^<61237>;1426
2002;Rottenmann ^<61238>;5390,625
2002;Rottenmann <61263>;-
2002;Sankt Gallen ^<61239>;1516
2002;Sankt Gallen <61264>;-
2002;Sankt Martin am Grimming ^<61240>;777,125
2002;Sankt Nikolai im Sölktal ^<61241>;504,125
2002;Schladming ^<61242>;4505,375
2002;Schladming <61265>;-
2002;Selzthal <61243>;1925,375
2002;Sölk <61266>;-
2002;Stainach ^<61244>;2024,875
2002;Stainach-Pürgg <61267>;-
2002;Tauplitz ^<61245>;1005,125
2002;Treglwang ^<61246>;383,875
2002;Trieben <61247>;3800
2002;Weißenbach an der Enns ^<61248>;552,75
2002;Weißenbach bei Liezen ^<61249>;1160,625
2002;Weng im Gesäuse ^<61250>;627,125
2002;Wildalpen <61251>;599,5
2002;Wörschach <61252>;1192,625
2002;Amering ^<62001>;-
2002;Apfelberg ^<62002>;-
2002;Bretstein ^<62003>;-
2002;Eppenstein ^<62004>;-
2002;Feistritz bei Knittelfeld ^<62005>;-
2002;Flatschach ^<62006>;-
2002;Fohnsdorf <62007>;-
2002;Gaal <62008>;-
2002;Großlobming ^<62009>;-
2002;Hohentauern <62010>;-
2002;Judenburg ^<62011>;-
2002;Judenburg <62040>;-
2002;Kleinlobming ^<62012>;-
2002;Knittelfeld ^<62013>;-
2002;Knittelfeld <62041>;-
2002;Kobenz <62014>;-
2002;Lobmingtal <62039>;-
2002;Maria Buch-Feistritz ^<62015>;-
2002;Obdach ^<62016>;-
2002;Obdach <62042>;-
2002;Oberkurzheim ^<62017>;-
2002;Oberweg ^<62018>;-
2002;Oberzeiring ^<62019>;-
2002;Pöls ^<62020>;-
2002;Pöls-Oberkurzheim <62043>;-
2002;Pölstal <62044>;-
2002;Pusterwald <62021>;-
2002;Rachau ^<62022>;-
2002;Reifling ^<62023>;-
2002;Reisstraße ^<62024>;-
2002;Sankt Anna am Lavantegg ^<62025>;-
2002;Sankt Georgen ob Judenburg <62026>;-
2002;Sankt Johann am Tauern ^<62027>;-
2002;Sankt Lorenzen bei Knittelfeld ^<62028>;-
2002;Sankt Marein bei Knittelfeld ^<62029>;-
2002;Sankt Marein-Feistritz <62045>;-
2002;Sankt Margarethen bei Knittelfeld ^<62030>;-
2002;Sankt Margarethen bei Knittelfeld <62046>;-
2002;Sankt Oswald-Möderbrugg ^<62031>;-
2002;Sankt Peter ob Judenburg <62032>;-
2002;Sankt Wolfgang-Kienberg ^<62033>;-
2002;Seckau <62034>;-
2002;Spielberg  ^<62035>;-
2002;Spielberg <62047>;-
2002;Unzmarkt-Frauenburg <62036>;-
2002;Weißkirchen in Steiermark ^<62037>;-
2002;Weißkirchen in Steiermark <62048>;-
2002;Zeltweg <62038>;-
2002;Allerheiligen im Mürztal ^<61301>;1973,125
2002;Altenberg an der Rax ^<61302>;341,25
2002;Ganz ^<61303>;378,75
2002;Kapellen ^<61304>;687,5
2002;Kindberg ^<61305>;5830,875
2002;Krieglach ^<61306>;5114,625
2002;Langenwang ^<61307>;4076,375
2002;Mitterdorf im Mürztal ^<61308>;2488,5
2002;Mürzhofen ^<61309>;1018
2002;Mürzsteg ^<61310>;585,375
2002;Mürzzuschlag ^<61311>;9510,625
2002;Neuberg an der Mürz ^<61312>;1513
2002;Spital am Semmering ^<61313>;1807,875
2002;Stanz im Mürztal ^<61314>;2045,625
2002;Veitsch ^<61315>;2946,625
2002;Wartberg im Mürztal ^<61316>;2346,875
2002;Dürnstein in der Steiermark ^<61401>;329,875
2002;Falkendorf ^<61402>;198,875
2002;Frojach-Katsch ^<61403>;1248,375
2002;Krakau <61437>;-
2002;Krakaudorf ^<61404>;670,875
2002;Krakauhintermühlen ^<61405>;600
2002;Krakauschatten ^<61406>;300,125
2002;Kulm am Zirbitz ^<61407>;370,75
2002;Laßnitz bei Murau ^<61408>;1065,25
2002;Mariahof ^<61409>;1326,875
2002;Mühlen <61410>;1026,375
2002;Murau ^<61411>;2279,25
2002;Murau <61438>;-
2002;Neumarkt in der Steiermark <61439>;-
2002;Neumarkt in Steiermark ^<61412>;1929,5
2002;Niederwölz <61413>;608,625
2002;Oberwölz  <61440>;-
2002;Oberwölz Stadt ^<61414>;1039,625
2002;Oberwölz Umgebung ^<61415>;877,875
2002;Perchau am Sattel ^<61416>;316,75
2002;Predlitz-Turrach ^<61417>;891
2002;Ranten ^<61418>;1091
2002;Ranten <61441>;-
2002;Rinegg ^<61419>;178,125
2002;Sankt Blasen ^<61420>;677,375
2002;Sankt Georgen am Kreischberg <61442>;-
2002;Sankt Georgen ob Murau ^<61421>;1418,375
2002;Sankt Lambrecht ^<61422>;1660
2002;Sankt Lambrecht <61443>;-
2002;Sankt Lorenzen bei Scheifling ^<61423>;662,875
2002;Sankt Marein bei Neumarkt ^<61424>;992,375
2002;Sankt Ruprecht ob Murau ^<61426>;321,25
2002;Sankt Ruprecht-Falkendorf ^<61436>;-
2002;St. Peter am Kammersberg <61425>;2195,625
