jahr;gemnr;n
2002;Allerheiligen bei Wildon <61001>;1308,875
2002;Arnfels <61002>;1100,375
2002;Berghausen ^<61003>;612,5
2002;Breitenfeld am Tannenriegel ^<61004>;201,375
2002;Ehrenhausen an der Weinstraﬂe <61049>;-
2002;Ehrenhausen ^<61005>;1067,125
2002;Eichberg-Trautenburg ^<61006>;893,875
2002;Empersdorf <61007>;1225,125
2002;Gabersdorf <61008>;1057,75
2002;Gamlitz ^<61009>;3046,125
2002;Gamlitz <61050>;-
2002;Glanz an der Weinstraﬂe ^<61010>;1364,875
2002;Gleinst‰tten ^<61011>;1472
2002;Gleinst‰tten <61051>;-
2002;Gralla <61012>;1788,25
2002;Groﬂklein <61013>;2350,75
2002;Hainsdorf im Schwarzautal ^<61014>;297,875
2002;Heiligenkreuz am Waasen ^<61015>;1749,5
2002;Heiligenkreuz am Waasen <61052>;-
2002;Heimschuh <61016>;1891
2002;Hengsberg <61017>;1399,5
2002;Kaindorf an der Sulm ^<61018>;2458,5
2002;Kitzeck im Sausal <61019>;1206,25
2002;Lang <61020>;1137,625
2002;Lebring-Sankt Margarethen <61021>;1923,375
2002;Leibnitz ^<61022>;7070,875
2002;Leibnitz <61053>;-
2002;Leutschach ^<61023>;620,125
2002;Leutschach an der Weinstraﬂe <61054>;-
2002;Oberhaag <61024>;2371,5
2002;Obervogau ^<61025>;816
2002;Pistorf ^<61026>;1404,5
2002;Ragnitz <61027>;1420,625
2002;Ratsch an der Weinstraﬂe ^<61028>;405,25
2002;Retznei ^<61029>;426,125
2002;Sankt Andr‰-Hˆch <61030>;1819,875
2002;Sankt Georgen an der Stiefing ^<61031>;1128,375
2002;Sankt Georgen an der Stiefing <61055>;-
2002;Sankt Johann im Saggautal <61032>;2078,375
2002;Sankt Nikolai im Sausal <61033>;2117,25
2002;Sankt Nikolai ob Draﬂling ^<61034>;1135,25
2002;Sankt Ulrich am Waasen ^<61035>;780,25
2002;Sankt Veit am Vogau ^<61036>;1848
2002;Sankt Veit in der S¸dsteiermark <61056>;-
2002;Sankt Veit in der S¸dsteiermark <61060>;-
2002;Schloﬂberg ^<61037>;1188,375
2002;Schwarzautal <61057>;-
2002;Seggauberg ^<61038>;1005,25
2002;Spielfeld ^<61039>;1027,25
2002;Stocking ^<61040>;1419,75
2002;Straﬂ in Steiermark ^<61041>;1753,625
2002;Straﬂ in Steiermark <61058>;-
2002;Straﬂ in Steiermark <61061>;-
2002;Sulztal an der Weinstraﬂe ^<61042>;147,125
2002;Tillmitsch <61043>;3018,125
2002;Vogau ^<61044>;1066,625
2002;Wagna <61045>;5120,25
2002;Weitendorf ^<61046>;1475,875
2002;Wildon ^<61047>;2331
2002;Wildon <61059>;-
2002;Wolfsberg im Schwarzautal ^<61048>;822,875
2003;Allerheiligen bei Wildon <61001>;1298,5
2003;Arnfels <61002>;1094,75
2003;Berghausen ^<61003>;609,375
2003;Breitenfeld am Tannenriegel ^<61004>;207,375
2003;Ehrenhausen an der Weinstraﬂe <61049>;-
2003;Ehrenhausen ^<61005>;1045,625
2003;Eichberg-Trautenburg ^<61006>;868,25
2003;Empersdorf <61007>;1252
2003;Gabersdorf <61008>;1048,125
2003;Gamlitz ^<61009>;3066,625
2003;Gamlitz <61050>;-
