jahr;gemnr;n
2003;Schwarzach <80235>;3391,875
2003;Schwarzenberg <80236>;1746,125
2003;Sibratsgfäll <80237>;419,25
2003;Sulzberg <80238>;1697,5
2003;Warth <80239>;187
2003;Wolfurt <80240>;7895,25
2003;Dornbirn <80301>;42909,875
2003;Hohenems <80302>;14106
2003;Lustenau <80303>;20132,125
2003;Altach <80401>;5900,75
2003;Düns <80402>;376,375
2003;Dünserberg <80403>;141,125
2003;Feldkirch <80404>;29123,75
2003;Frastanz <80405>;6225,375
2003;Fraxern <80406>;673,125
2003;Göfis <80407>;2909,75
2003;Götzis <80408>;10243,25
2003;Klaus <80409>;2905,25
2003;Koblach <80410>;3889,5
2003;Laterns <80411>;718,625
2003;Mäder <80412>;3208,125
2003;Meiningen <80413>;1887,375
2003;Rankweil <80414>;11299
2003;Röns <80415>;288,625
2003;Röthis <80416>;1985,875
2003;Satteins <80417>;2509,5
2003;Schlins <80418>;2133,375
2003;Schnifis <80419>;712,625
2003;Sulz <80420>;2163,625
2003;Übersaxen <80421>;600,875
2003;Viktorsberg <80422>;382,125
2003;Weiler <80423>;1758,625
2003;Zwischenwasser <80424>;3083,125
2004;Bartholomäberg <80101>;2226,875
2004;Blons <80102>;326,875
2004;Bludenz <80103>;13968,375
2004;Bludesch <80104>;2204,5
2004;Brand <80105>;691,625
2004;Bürs <80106>;2950,375
2004;Bürserberg <80107>;532,375
2004;Dalaas <80108>;1563,5
2004;Fontanella <80109>;438,875
2004;Gaschurn <80110>;1653,625
2004;Innerbraz <80111>;966,5
2004;Klösterle <80112>;735,125
2004;Lech <80113>;1710,125
2004;Lorüns <80114>;282
2004;Ludesch <80115>;2987,875
2004;Nenzing <80116>;5922,25
2004;Nüziders <80117>;4561,625
2004;Raggal <80118>;874
2004;St. Anton im Montafon <80119>;677
2004;St. Gallenkirch <80120>;2285,5
2004;St. Gerold <80121>;381,75
2004;Schruns <80122>;3712,625
2004;Silbertal <80123>;857,875
2004;Sonntag <80124>;716,25
2004;Stallehr <80125>;261
2004;Thüringen <80126>;2238,125
2004;Thüringerberg <80127>;687,5
2004;Tschagguns <80128>;2357,75
2004;Vandans <80129>;2700,5
2004;Alberschwende <80201>;3010,5
2004;Andelsbuch <80202>;2262,875
2004;Au <80203>;1686,125
2004;Bezau <80204>;1899,75
2004;Bildstein <80205>;699
2004;Bizau <80206>;986,75
2004;Bregenz <80207>;26821,875
2004;Buch <80208>;561,75
2004;Damüls <80209>;333,875
2004;Doren <80210>;997
2004;Egg <80211>;3378,125
2004;Eichenberg <80212>;381,25
2004;Fußach <80213>;3560,5
2004;Gaißau <80214>;1561
2004;Hard <80215>;11788
2004;Hittisau <80216>;1832,25
2004;Höchst <80217>;7470,125
2004;Hörbranz <80218>;6269,75
2004;Hohenweiler <80219>;1285,875
2004;Kennelbach <80220>;1969,375
2004;Krumbach <80221>;974,5
2004;Langen bei Bregenz <80222>;1327,375
2004;Langenegg <80223>;1049,875
2004;Lauterach <80224>;8963,375
2004;Lingenau <80225>;1350,625
2004;Lochau <80226>;5313,25
2004;Mellau <80227>;1269,875
2004;Mittelberg <80228>;4903,5
2004;Möggers <80229>;544,625
2004;Reuthe <80230>;591,75
2004;Riefensberg <80231>;997,375
2004;Schnepfau <80232>;487,5
2004;Schoppernau <80233>;918,625
2004;Schröcken <80234>;231,375
2004;Schwarzach <80235>;3430,625
2004;Schwarzenberg <80236>;1753,125
2004;Sibratsgfäll <80237>;409
2004;Sulzberg <80238>;1688,875
2004;Warth <80239>;185,375
2004;Wolfurt <80240>;7918,75
2004;Dornbirn <80301>;43397,375
2004;Hohenems <80302>;14264,625
2004;Lustenau <80303>;20364,5
2004;Altach <80401>;6019,75
2004;Düns <80402>;377,375
2004;Dünserberg <80403>;141,625
2004;Feldkirch <80404>;29379,75
2004;Frastanz <80405>;6250,75
2004;Fraxern <80406>;676
2004;Göfis <80407>;2939
2004;Götzis <80408>;10255,375
2004;Klaus <80409>;2954,125
2004;Koblach <80410>;3912,5
2004;Laterns <80411>;716,75
2004;Mäder <80412>;3229,875
2004;Meiningen <80413>;1904
2004;Rankweil <80414>;11438,25
2004;Röns <80415>;285,125
2004;Röthis <80416>;1950,5
2004;Satteins <80417>;2489,875
2004;Schlins <80418>;2206,75
2004;Schnifis <80419>;720,875
2004;Sulz <80420>;2185,75
2004;Übersaxen <80421>;604,75
2004;Viktorsberg <80422>;386,5
2004;Weiler <80423>;1818,25
2004;Zwischenwasser <80424>;3123
2005;Bartholomäberg <80101>;2237,25
2005;Blons <80102>;324,5
2005;Bludenz <80103>;13983,25
2005;Bludesch <80104>;2210,75
2005;Brand <80105>;689,625
2005;Bürs <80106>;2969,875
2005;Bürserberg <80107>;522,375
2005;Dalaas <80108>;1564,5
2005;Fontanella <80109>;436,25
2005;Gaschurn <80110>;1640,75
2005;Innerbraz <80111>;965,5
2005;Klösterle <80112>;732,25
2005;Lech <80113>;1753,25
2005;Lorüns <80114>;288,75
2005;Ludesch <80115>;3020,25
2005;Nenzing <80116>;5995,125
2005;Nüziders <80117>;4710,875
2005;Raggal <80118>;874,5
2005;St. Anton im Montafon <80119>;683,25
2005;St. Gallenkirch <80120>;2275,25
2005;St. Gerold <80121>;379,875
2005;Schruns <80122>;3756,375
2005;Silbertal <80123>;873,25
2005;Sonntag <80124>;705,875
2005;Stallehr <80125>;263,125
2005;Thüringen <80126>;2245,25
2005;Thüringerberg <80127>;683,375
2005;Tschagguns <80128>;2321
2005;Vandans <80129>;2681,75
2005;Alberschwende <80201>;3034
2005;Andelsbuch <80202>;2253,375
2005;Au <80203>;1694,125
2005;Bezau <80204>;1952,75
2005;Bildstein <80205>;701,625
2005;Bizau <80206>;980,875
2005;Bregenz <80207>;26988,125
2005;Buch <80208>;565,125
2005;Damüls <80209>;323,875
2005;Doren <80210>;1008,625
2005;Egg <80211>;3405,75
2005;Eichenberg <80212>;384,125
2005;Fußach <80213>;3617
2005;Gaißau <80214>;1566,5
2005;Hard <80215>;11928,875
2005;Hittisau <80216>;1860,5
2005;Höchst <80217>;7555
2005;Hörbranz <80218>;6313,125
2005;Hohenweiler <80219>;1287,75
2005;Kennelbach <80220>;1963,125
2005;Krumbach <80221>;993,125
2005;Langen bei Bregenz <80222>;1330,375
2005;Langenegg <80223>;1061
2005;Lauterach <80224>;9059,5
2005;Lingenau <80225>;1362,875
2005;Lochau <80226>;5305,125
2005;Mellau <80227>;1268,375
2005;Mittelberg <80228>;4950,75
2005;Möggers <80229>;542,125
2005;Reuthe <80230>;586,75
2005;Riefensberg <80231>;992,5
2005;Schnepfau <80232>;488,5
2005;Schoppernau <80233>;928,75
2005;Schröcken <80234>;237,75
2005;Schwarzach <80235>;3483,75
2005;Schwarzenberg <80236>;1769,75
2005;Sibratsgfäll <80237>;397
