jahr;gemnr;n
2002;Krems an der Donau <30101>;23461,625
2002;St. Pölten <30201>;49130,125
2002;Waidhofen an der Ybbs <30301>;11714,25
2002;Wiener Neustadt <30401>;37978,625
2002;Altenburg <31101>;823
2002;Brunn an der Wild <31102>;849,625
2002;Burgschleinitz-Kühnring <31103>;1414,25
2002;Drosendorf-Zissersdorf <31104>;1290,125
2002;Eggenburg <31105>;3626,25
2002;Gars am Kamp <31106>;3545,375
2002;Geras <31107>;1412,75
2002;Horn <31109>;6375,375
2002;Irnfritz-Messern <31110>;1421,625
2002;Japons <31111>;800,125
2002;Langau <31113>;747,875
2002;Meiseldorf <31114>;971,5
2002;Pernegg <31117>;731,625
2002;Röhrenbach <31119>;578,375
2002;Röschitz <31120>;1045,125
2002;Rosenburg-Mold <31121>;956,25
2002;St. Bernhard-Frauenhofen <31123>;1270,5
2002;Sigmundsherberg <31124>;1801,25
2002;Straning-Grafenberg <31130>;785,75
2002;Weitersfeld <31129>;1722,625
2002;Bisamberg <31201>;4044,5
2002;Enzersfeld im Weinviertel <31202>;1433,625
2002;Ernstbrunn <31203>;3130,75
2002;Gerasdorf bei Wien <31235>;-
2002;Großmugl <31204>;1512,25
2002;Großrußbach <31205>;1960
2002;Hagenbrunn <31206>;1592,25
2002;Harmannsdorf <31207>;3539,375
2002;Hausleiten <31208>;2988,75
2002;Korneuburg <31213>;11192,375
2002;Langenzersdorf <31214>;7322
2002;Leitzersdorf <31215>;1108,625
2002;Leobendorf <31216>;4336,5
2002;Niederhollabrunn <31234>;1470,625
2002;Oberzögersdorf ^<31223>;-
2002;Rußbach <31224>;1307,375
2002;Sierndorf <31226>;3199,75
2002;Spillern <31227>;1748,125
2002;Stetteldorf am Wagram <31228>;1007,25
2002;Stetten <31229>;1061,125
2002;Stockerau <31230>;14442,25
2002;Würnitz ^<31233>;-
2002;Aggsbach <31301>;694,875
2002;Albrechtsberg an der Großen Krems <31302>;1094,25
2002;Bergern im Dunkelsteinerwald <31303>;1254,625
2002;Droß <31356>;793,75
2002;Dürnstein <31304>;941,25
2002;Furth bei Göttweig <31309>;2697
2002;Gedersdorf <31310>;2087,25
2002;Gföhl <31311>;3764,375
2002;Grafenegg <31308>;2866,5
2002;Gut am Steg ^<31314>;-
2002;Hadersdorf-Kammern <31315>;1982,75
2002;Imbach ^<31318>;-
2002;Jaidhof <31319>;1108
2002;Krumau am Kamp <31321>;794,75
2002;Langenlois <31322>;6875,5
2002;Lengenfeld <31323>;1373
2002;Lichtenau im Waldviertel <31324>;2063,625
2002;Maria Laach am Jauerling <31326>;957,75
2002;Mautern an der Donau <31327>;3079,625
2002;Mühldorf <31330>;1423,75
2002;Paudorf <31333>;2388,5
2002;Rastenfeld <31336>;1370,625
2002;Rohrendorf bei Krems <31337>;1712,875
2002;Rossatz-Arnsdorf <31338>;1200,5
2002;St. Leonhard am Hornerwald <31340>;1230,125
2002;Schönberg am Kamp <31355>;1793,625
2002;Senftenberg <31343>;1959,25
2002;Spitz <31344>;1754,375
2002;Straß im Straßertale <31346>;1455,75
2002;Stratzing <31347>;805,875
2002;Weinzierl am Walde <31350>;1333,125
2002;Weißenkirchen in der Wachau <31351>;1465,625
2002;Annaberg <31401>;681,75
2002;Eschenau <31402>;1220
2002;Hainfeld <31403>;3718,25
2002;Hohenberg <31404>;1612,875
2002;Kaumberg <31405>;1012,125
2002;Kleinzell <31406>;819,625
2002;Lilienfeld <31407>;3021,125
2002;Mitterbach am Erlaufsee <31408>;617,375
2002;Ramsau <31409>;921,125
2002;Rohrbach an der Gölsen <31410>;1525,5
2002;St. Aegyd am Neuwalde <31411>;2321,5
2002;St. Veit an der Gölsen <31412>;3860,25
2002;Traisen <31413>;3652,75
2002;Türnitz <31414>;2053
2002;Artstetten-Pöbring <31502>;1166,875
2002;Bergland <31503>;1745
2002;Bischofstetten <31504>;1197,375
2002;Blindenmarkt <31505>;2384
2002;Dorfstetten <31506>;632,875
2002;Dunkelsteinerwald <31507>;2292,625
2002;Emmersdorf an der Donau <31553>;1720,875
2002;Erlauf <31508>;1128
2002;Golling an der Erlauf <31509>;1659,625
2002;Hofamt Priel <31511>;1660,5
2002;Hürm <31513>;1698,125
2002;Kilb <31514>;2556,875
2002;Kirnberg an der Mank <31515>;989,75
2002;Klein-Pöchlarn <31516>;989,25
2002;Krummnußbaum <31517>;1345,75
2002;Leiben <31519>;1288,5
2002;Loosdorf <31520>;3497,125
2002;Mank <31521>;2928,875
2002;Marbach an der Donau <31522>;1682,25
2002;Maria Taferl <31523>;877,875
2002;Melk <31524>;5283,25
2002;Münichreith-Laimbach <31525>;1695,375
2002;Neumarkt an der Ybbs <31527>;1837
