jahr;gemnr;n
2003;Ebenau <50307>;1326,875
2003;Elixhausen <50308>;2684,125
2003;Elsbethen <50309>;5080,375
2003;Eugendorf <50310>;6307,625
2003;Faistenau <50311>;2845,625
2003;Fuschl am See <50312>;1379,375
2003;Göming <50313>;619,625
2003;Grödig <50314>;6768,75
2003;Großgmain <50315>;2365,5
2003;Hallwang <50316>;3677,75
2003;Henndorf am Wallersee <50317>;4720,625
2003;Hintersee <50318>;447,875
2003;Hof bei Salzburg <50319>;3369
2003;Köstendorf <50320>;2489,875
2003;Koppl <50321>;3052,25
2003;Lamprechtshausen <50322>;3172,625
2003;Mattsee <50323>;2938,375
2003;Neumarkt am Wallersee <50324>;5475,25
2003;Nußdorf am Haunsberg <50325>;2183,625
2003;Oberndorf bei Salzburg <50326>;5477,375
2003;Obertrum am See <50327>;4268,375
2003;Plainfeld <50328>;1161,875
2003;St. Georgen bei Salzburg <50329>;2771,75
2003;St. Gilgen <50330>;3695,875
2003;Schleedorf <50331>;937,75
2003;Seeham <50332>;1686,875
2003;Seekirchen Markt ^<50334>;-
2003;Straßwalchen <50335>;6757,375
2003;Strobl <50336>;3550,625
2003;Thalgau <50337>;5170,625
2003;Wals-Siezenheim <50338>;11297,125
2003;Seekirchen am Wallersee <50339>;9426,25
2003;Altenmarkt im Pongau <50401>;3472,25
2003;Bad Hofgastein <50402>;6895,375
2003;Bad Gastein <50403>;5245,25
2003;Bischofshofen <50404>;9992,75
2003;Dorfgastein <50405>;1629,375
2003;Eben im Pongau <50406>;2048
2003;Filzmoos <50407>;1354,625
2003;Flachau <50408>;2612,125
2003;Forstau <50409>;530,5
2003;Goldegg <50410>;2233,75
2003;Großarl <50411>;3690,75
2003;Hüttau <50412>;1551,75
2003;Hüttschlag <50413>;939,25
2003;Kleinarl <50414>;752,625
2003;Mühlbach am Hochkönig <50415>;1583
2003;Pfarrwerfen <50416>;2173,875
2003;Radstadt <50417>;4795,875
2003;St. Johann im Pongau <50418>;10387
2003;St. Martin am Tennengebirge <50419>;1489,625
2003;St. Veit im Pongau <50420>;3389,25
2003;Schwarzach im Pongau <50421>;3532,375
2003;Untertauern <50422>;499,125
2003;Wagrain <50423>;3049,25
2003;Werfen <50424>;3137,875
2003;Werfenweng <50425>;797,5
2003;Göriach <50501>;361,125
2003;Lessach <50502>;557,125
2003;Mariapfarr <50503>;2242,875
2003;Mauterndorf <50504>;1822,375
2003;Muhr <50505>;627,625
2003;Ramingstein <50506>;1318,25
2003;St. Andrä im Lungau <50507>;724,125
2003;St. Margarethen im Lungau <50508>;778,625
2003;St. Michael im Lungau <50509>;3543,625
2003;Tamsweg <50510>;5886,125
2003;Thomatal <50511>;334,875
2003;Tweng <50512>;359,375
2003;Unternberg <50513>;987,375
2003;Weißpriach <50514>;327,5
2003;Zederhaus <50515>;1242,875
2003;Bramberg am Wildkogel <50601>;3883,125
2003;Bruck an der Großglocknerstraße <50602>;4339,625
2003;Dienten am Hochkönig <50603>;798,25
2003;Fusch an der Großglocknerstraße <50604>;738,875
2003;Hollersbach im Pinzgau <50605>;1162,5
2003;Kaprun <50606>;2915,375
2003;Krimml <50607>;865,75
2003;Lend <50608>;1576,625
2003;Leogang <50609>;3046,25
2003;Lofer <50610>;1912,875
2003;Maishofen <50611>;3042,875
2003;Maria Alm am Steinernen Meer <50612>;2085,625
2003;Mittersill <50613>;5527,75
